ORG,OCCURENCE
FACEBOOK,8.0
EDGECAST,4.0
AKAMAI-AS,36.5
CLOUDFLARENET,16.0
AS-PUBMATIC,8.0
RUBICONPROJECT,1.5
TWITTER,3.5
Taboola.com ltd,6.0
ASN-APPNEX,25.5
Adform A/S,12.0
Akamai International B.V.,2.5
Criteo SA,69.0
FASTLY,12.0
SmartAdServer SAS,48.0
MEDIAMATH-INC,2.0
SOFTLAYER,2.0
RHYTHMONE,11.0
VOXEL-DOT-NET,5.5
Hetzner Online GmbH,0.5
Amobee EMEA Limited,3.5
DEEPINTENT,5.0
Vente-privee.com SA,5.5
PULSEPOINT,6.0
MICROSOFT-CORP-MSN-AS-BLOCK,0.5
AMAZON-AES,22.0
OVH SAS,31.0
AS-OUTBRAIN,7.0
