ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
FASTLY,199.232.58.206,United Kingdom,London,285,51.5016,-0.0149
EBAY,209.140.129.68,United Kingdom,Slough,25,51.5368,-0.6718
GOOGLE,35.241.15.240,United States,Kansas City,7,39.1027,-94.5778
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,1,51.6795,0.018
AMAZON-02,52.59.84.52,Germany,Frankfurt am Main,11,50.099209,8.630393
AKAMAI-AS,195.95.193.244,United Kingdom,London,52,51.5095,-0.0955
SUCURI-SEC,192.124.249.23,United States,Menifee,3,33.6647,-117.1743
GOOGLE,35.186.224.47,United States,Kansas City,4,39.1027,-94.5778
EBAY,209.140.129.59,United Kingdom,Slough,9,51.4989,-0.5806
CLOUDFLARENET,104.18.31.182,Canada,Toronto,3,43.7593,-79.5224
EBAY,209.140.129.52,United Kingdom,Slough,2,51.5368,-0.6718
GOOGLE,35.186.224.25,United States,Kansas City,9,39.1027,-94.5778
THM,185.32.241.65,Netherlands,Amsterdam,3,52.3759,4.8975
APPLE-ENGINEERING,17.248.180.243,United Kingdom,Manchester,7,53.5058,-2.2209
FACEBOOK,157.240.225.60,United Kingdom,Manchester,1,53.5058,-2.2209
