occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10,4.24,1237,343.65,1.5,0.71,0.2778,0.4243,0.4714,GOOGLE,6.6667
0.5,0.71,97,137.18,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,62,87.68,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
1.5,2.12,1221.5,1727.46,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
1.5,2.12,529.5,748.83,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
3.5,4.95,201.5,284.96,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,7.0
5.5,7.78,2143,3030.66,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,11.0
18,25.46,14509.5,20519.53,1.5,2.12,1.4142,1.4142,1.4142,EBAY,12.0
142.5,201.53,202042.5,285731.24,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,285.0
26,36.77,35410.5,50078.01,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,52.0
1.5,2.12,93.5,132.23,0.5,0.71,1.4142,1.4142,1.4142,THM,3.0
