occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
6.5,6.36,568,619.43,1.5,0.71,1.0905,0.9791,0.4714,GOOGLE,4.3333
1.5,2.12,157,222.03,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,3.0
2,0.0,120,0.0,1.5,0.71,0.0,0.0,0.4714,APPLE-ENGINEERING,1.3333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,62,87.68,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
2.5,3.54,1039.5,1470.07,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
54,76.37,56389,79746.09,1,1.41,1.4142,1.4142,1.4142,THM,54.0
7.5,7.78,4532,6245.17,1.5,0.71,1.378,1.0371,0.4714,EBAY,5.0
17,24.04,19792,27990.11,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,34.0
