ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
AMAZON-02,13.224.81.45,United Kingdom,Manchester,6,53.4809,-2.2374
EBAY,209.140.151.235,United States,San Jose,9,37.3313,-121.8401
EBAY,209.140.146.171,United States,San Jose,15,37.3313,-121.8401
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,4,51.6795,0.018
THM,185.32.241.65,Netherlands,Amsterdam,95,52.3759,4.8975
THM,91.235.132.129,Netherlands,Amsterdam,12,52.352,4.9392
CLOUDFLARENET,104.18.31.182,Canada,Toronto,4,43.7593,-79.5224
AKAMAI-AS,23.217.6.99,United Kingdom,Manchester,29,53.5058,-2.2209
EBAY,209.140.129.51,United Kingdom,Slough,9,51.4989,-0.5806
GOOGLE,35.241.15.240,United States,Kansas City,13,39.1027,-94.5778
SUCURI-SEC,192.124.249.36,United States,Menifee,5,33.6647,-117.1743
GOOGLE,35.186.224.25,United States,Kansas City,1,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.113.194.132,United States,Newark,1,40.7337,-74.1939
FACEBOOK,157.240.225.60,United Kingdom,Manchester,1,53.5058,-2.2209
EDGECAST,93.184.220.29,United Kingdom,London,3,51.5095,-0.0955
FASTLY,199.232.58.206,United Kingdom,London,22,51.5016,-0.0149
AMAZON-02,13.33.52.67,United Kingdom,Manchester,2,53.4809,-2.2374
GOOGLE,35.186.224.18,United States,Kansas City,1,39.1027,-94.5778
EBAY,209.140.129.84,United Kingdom,Slough,1,51.4989,-0.5806
MICROSOFT-CORP-MSN-AS-BLOCK,52.114.75.53,Netherlands,Amsterdam,1,52.3759,4.8975
