ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
AMAZON-02,13.224.81.45,United Kingdom,Manchester,6,53.4809,-2.2374
EBAY,209.140.148.12,United States,San Jose,5,37.3388,-121.8916
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,4,51.6795,0.018
THM,185.32.241.65,Netherlands,Amsterdam,95,52.3759,4.8975
THM,91.235.132.129,Netherlands,Amsterdam,12,52.352,4.9392
AKAMAI-AS,23.217.6.99,United Kingdom,Manchester,249,53.5058,-2.2209
CLOUDFLARENET,104.18.30.182,Canada,Toronto,4,43.7593,-79.5224
EBAY,209.140.129.51,United Kingdom,Slough,9,51.4989,-0.5806
APPLE-ENGINEERING,17.248.180.105,United Kingdom,Manchester,7,53.5058,-2.2209
GOOGLE,35.186.224.25,United States,Kansas City,1,39.1027,-94.5778
EBAY,209.140.148.240,United States,San Jose,14,37.3313,-121.8401
EDGECAST,93.184.221.225,United Kingdom,London,33,51.5095,-0.0955
EDGECAST,93.184.220.29,United Kingdom,London,3,51.5095,-0.0955
GOOGLE,35.186.224.47,United States,Kansas City,2,39.1027,-94.5778
SUCURI-SEC,192.124.249.23,United States,Menifee,4,33.6647,-117.1743
MICROSOFT-CORP-MSN-AS-BLOCK,52.98.145.114,United Kingdom,London,1,51.5095,-0.0955
