occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1.5,0.71,93.5,58.69,1,0.0,0.6277,0.4714,0.0,GOOGLE,1.5
2,2.83,224,316.78,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,1.0
18,25.46,24100,34082.55,1,1.41,1.4142,1.4142,1.4142,EDGECAST,18.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
2,2.83,1018.5,1440.38,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
53.5,75.66,56097.5,79333.85,1,1.41,1.4142,1.4142,1.4142,THM,53.5
14,7.07,6864,427.09,1.5,0.71,0.0622,0.5051,0.4714,EBAY,9.3333
3,4.24,509,719.83,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,6.0
3.5,4.95,207.5,293.45,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,7.0
124.5,176.07,163362,231028.76,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,249.0
