occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1,1.41,72,101.82,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,2.0
5,7.07,1200.5,1697.76,1,1.41,1.4142,1.4142,1.4142,Virgin Media Limited,5.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,570,806.1,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,2.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,3.0
1.5,2.12,999.5,1413.51,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
70.5,99.7,69602.5,98432.8,2,2.83,1.4142,1.4142,1.4142,THM,35.25
17.5,3.54,8535,5504.12,2.5,0.71,0.6449,0.202,0.2828,EBAY,7.0
2.5,3.54,718,1015.41,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,5.0
9,12.73,12827.5,18140.82,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,18.0
