ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
EBAY,216.113.179.36,United States,San Jose,4,37.3313,-121.8401
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,9,51.6795,0.018
THM,185.32.241.65,Netherlands,Amsterdam,105,52.3759,4.8975
THM,91.235.132.129,Netherlands,Amsterdam,12,52.352,4.9392
CLOUDFLARENET,104.18.31.182,Canada,Toronto,4,43.7593,-79.5224
AKAMAI-AS,195.95.193.244,United Kingdom,London,25,51.5095,-0.0955
EBAY,209.140.129.51,United Kingdom,Slough,9,51.4989,-0.5806
GOOGLE,35.186.224.25,United States,Kansas City,7,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,20.189.173.9,United States,San Jose,10,37.3388,-121.8916
MICROSOFT-CORP-MSN-AS-BLOCK,52.109.76.88,Ireland,Dublin,1,53.3382,-6.2591
EBAY,209.140.158.76,United States,San Jose,6,37.3313,-121.8401
EBAY,209.140.135.178,United Kingdom,Slough,6,51.4989,-0.5806
EBAY,209.140.129.68,United Kingdom,Slough,1,51.5368,-0.6718
EDGECAST,93.184.220.29,United Kingdom,London,3,51.5095,-0.0955
AMAZON-02,52.59.84.52,Germany,Frankfurt am Main,5,50.099209,8.630393
SUCURI-SEC,192.124.249.24,United States,Menifee,3,33.6647,-117.1743
