occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3.5,4.95,691,977.22,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,7.0
4.5,6.36,654.5,925.6,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
5.5,7.78,3596.5,5086.22,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,5.5
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
2,2.83,1487.5,2103.64,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
58.5,82.73,56550,79973.78,1,1.41,1.4142,1.4142,1.4142,THM,58.5
2.5,3.54,150.5,212.84,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,5.0
13,16.97,7826.5,9413.71,2.5,2.12,1.2028,1.3054,0.8485,EBAY,5.2
12.5,17.68,17180.5,24296.9,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,25.0
