occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
88.5,161.84,14083.75,27262.83,2.5,3.11,1.9358,1.8288,1.2437,GOOGLE,35.4
20,30.94,2640,4799.43,0.75,0.5,1.818,1.547,0.6667,Virgin Media Limited,26.6667
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
158.25,247.65,65011,102822.81,3.25,3.3,1.5816,1.5649,1.0166,MICROSOFT-CORP-MSN-AS-BLOCK,48.6923
4.75,9.5,589,1178.0,0.25,0.5,2.0,2.0,2.0,FACEBOOK,19.0
27,12.94,9078.75,9926.93,1.75,0.5,1.0934,0.4791,0.2857,CLOUDFLARENET,15.4286
11,22.0,584,1168.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,22.0
0.75,1.5,57,114.0,0.75,1.5,2.0,2.0,2.0,APPLE-AUSTIN,1.0
299.25,385.42,349946.75,574449.6,1.25,1.26,1.6415,1.288,1.0066,Yahoo! UK Services Limited,239.4
554.75,891.57,615343.25,1145670.69,5.25,2.87,1.8618,1.6072,0.5471,AMAZON-02,105.6667
37.75,18.5,16752.5,9155.59,2.5,1.0,0.5465,0.4901,0.4,APPLE-ENGINEERING,15.1
69,138.0,20142.5,40285.0,1.75,3.5,2.0,2.0,2.0,EDGECAST,39.4286
10.25,20.5,1106.75,2213.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,20.5
24.75,49.5,22863.5,45727.0,0.5,1.0,2.0,2.0,2.0,THM,49.5
24.75,49.5,4026.75,8053.5,2,4.0,2.0,2.0,2.0,EBAY,12.375
29,50.32,25162.25,49888.79,0.75,0.96,1.9827,1.7351,1.2766,AKAMAI-AS,38.6667
0.5,1.0,38.75,77.5,0.25,0.5,2.0,2.0,2.0,LEVEL3,2.0
169.5,261.28,190798.75,306016.82,0.75,0.96,1.6039,1.5415,1.2766,FASTLY,226.0
8.75,17.5,11515.75,23031.5,0.25,0.5,2.0,2.0,2.0,Hetzner Online GmbH,35.0
