occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
992.75,1127.01,641470,922269.96,10.25,4.57,1.4377,1.1352,0.4462,GOOGLE,96.8537
95.5,142.78,14871.5,21428.4,1.25,1.26,1.4409,1.495,1.0066,Virgin Media Limited,76.4
92,114.03,21557.25,10243.12,3.25,2.06,0.4752,1.2394,0.6343,APPLE-ENGINEERING,28.3077
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
278.25,156.85,128993.25,89032.69,4.75,1.71,0.6902,0.5637,0.3595,MICROSOFT-CORP-MSN-AS-BLOCK,58.5789
20.25,40.5,5285.25,10570.5,0.5,1.0,2.0,2.0,2.0,FACEBOOK,40.5
111.5,156.33,83794,149921.32,3,3.37,1.7892,1.402,1.1222,CLOUDFLARENET,37.1667
757.25,827.81,623332.75,867161.02,22.5,13.63,1.3912,1.0932,0.6056,AMAZON-02,33.6556
0.75,1.5,33,66.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,3.0
242.75,466.3,295912,585815.77,1.75,1.26,1.9797,1.9209,0.719,Yahoo! UK Services Limited,138.7143
92.75,110.51,31957.25,28918.42,2.25,1.89,0.9049,1.1915,0.8413,EDGECAST,41.2222
137,133.04,83360,92093.28,3.25,1.89,1.1048,0.9711,0.5825,AKAMAI-AS,42.1538
15.5,17.9,3874.5,4742.22,0.5,0.58,1.224,1.1547,1.1547,RUBICONPROJECT,31.0
4.5,9.0,1447.25,2894.5,0.25,0.5,2.0,2.0,2.0,Netic A/S,18.0
76.75,66.78,29164.5,27886.55,1.75,1.71,0.9562,0.87,0.9759,AS-PUBMATIC,43.8571
16.5,33.0,4881,9762.0,0.5,1.0,2.0,2.0,2.0,TWITTER,33.0
5.25,10.5,1592.5,3185.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,21.0
26,25.56,13487.25,16866.69,1,0.82,1.2506,0.9831,0.8165,Adform A/S,26.0
14.75,29.5,4202.5,8405.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,29.5
280.75,463.44,282107.75,479028.34,1.5,0.58,1.698,1.6507,0.3849,FASTLY,187.1667
36,72.0,31634,63268.0,0.75,1.5,2.0,2.0,2.0,THM,48.0
43,86.0,13205.25,26410.5,2,4.0,2.0,2.0,2.0,EBAY,21.5
35.75,40.88,13778.5,10989.64,2,0.82,0.7976,1.1434,0.4082,AMAZON-AES,17.875
3,6.0,1037.5,2075.0,0.25,0.5,2.0,2.0,2.0,Akamai International B.V.,12.0
