occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
450.75,735.77,260785.5,486118.37,5,4.0,1.8641,1.6323,0.8,GOOGLE,90.15
48.5,72.6,8372.75,10112.79,0.75,0.5,1.2078,1.4968,0.6667,Virgin Media Limited,64.6667
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
156.75,136.39,63425.75,57260.63,3.25,2.06,0.9028,0.8701,0.6343,MICROSOFT-CORP-MSN-AS-BLOCK,48.2308
14.25,21.79,2106,3582.53,1.5,2.38,1.7011,1.5293,1.587,FACEBOOK,9.5
61.75,33.87,21856,13198.16,2.75,1.26,0.6039,0.5484,0.4576,APPLE-ENGINEERING,22.4545
56.25,52.77,10054.5,11114.57,1.25,0.5,1.1054,0.9381,0.4,CLOUDFLARENET,45.0
176.75,57.44,88113.5,51289.16,4.25,1.5,0.5821,0.325,0.3529,AMAZON-02,41.5882
12.25,24.5,658,1316.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,24.5
642.75,1004.82,735423.75,1337908.02,2.25,2.06,1.8192,1.5633,0.9162,Yahoo! UK Services Limited,285.6667
330.25,626.93,377685.5,739079.44,2.5,3.7,1.9569,1.8984,1.4787,EDGECAST,132.1
4,8.0,208,416.0,0.25,0.5,2.0,2.0,2.0,SUCURI-SEC,16.0
40.5,56.12,9297.25,17156.65,0.75,0.96,1.8453,1.3857,1.2766,AKAMAI-AS,54.0
6,12.0,2020.75,4041.5,0.5,1.0,2.0,2.0,2.0,EBAY,12.0
7.25,14.5,3399,6798.0,0.25,0.5,2.0,2.0,2.0,YAHOO-BF1,29.0
6.75,13.5,1679.25,3358.5,0.25,0.5,2.0,2.0,2.0,LEVEL3,27.0
5.5,11.0,3412.75,6825.5,0.5,1.0,2.0,2.0,2.0,YAHOO-DNB,11.0
4.25,7.23,316.25,541.38,0.5,0.58,1.7119,1.7008,1.1547,FASTLY,8.5
14.75,18.71,8109.75,9887.4,0.75,0.96,1.2192,1.2688,1.2766,Internet content provider,19.6667
36,35.33,18657.75,17016.21,2,1.83,0.912,0.9813,0.9129,YAHOO-1,18.0
4.5,9.0,1849.75,3699.5,0.25,0.5,2.0,2.0,2.0,AMAZON-AES,18.0
19,38.0,9888.5,19777.0,0.5,1.0,2.0,2.0,2.0,internet content provider,38.0
2.75,5.5,1671,3342.0,0.25,0.5,2.0,2.0,2.0,YAHOO-GQ1,11.0
6.25,12.5,3411,6822.0,0.25,0.5,2.0,2.0,2.0,YAHOO-NE1,25.0
3.75,7.5,1723.25,3446.5,0.25,0.5,2.0,2.0,2.0,Yahoo do Brasil Internet Ltda.,15.0
3.25,6.5,1707,3414.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,13.0
3.25,6.5,1777,3554.0,0.25,0.5,2.0,2.0,2.0,YAHOO-YSM-SC8,13.0
8.5,10.34,5094.75,6410.63,0.75,0.96,1.2583,1.217,1.2766,YAHOO,11.3333
12.75,25.5,4986,9972.0,0.25,0.5,2.0,2.0,2.0,LLNW,51.0
13,26.0,6601.75,13203.5,0.25,0.5,2.0,2.0,2.0,Internet Content Provider,52.0
