ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,203,51.6795,0.018
GOOGLE,35.244.181.201,United States,Kansas City,3,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.112.120.2,Sweden,Gävle,7,60.6728,17.1611
MICROSOFT-CORP-MSN-AS-BLOCK,52.113.205.46,Ireland,Dublin,16,53.3382,-6.2591
CLOUDFLARENET,104.18.20.226,Canada,Toronto,34,43.6752,-79.3472
EDGECAST,93.184.220.29,United Kingdom,London,204,51.5095,-0.0955
GOOGLE,173.194.76.188,United States,Mountain View,10,37.4043,-122.0748
MICROSOFT-CORP-MSN-AS-BLOCK,52.98.145.114,United Kingdom,London,36,51.5095,-0.0955
GOOGLE,35.186.224.40,United States,Kansas City,26,39.1027,-94.5778
GOOGLE,35.186.224.25,United States,Kansas City,253,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.98.207.130,United Kingdom,London,18,51.5095,-0.0955
FASTLY,199.232.57.111,United Kingdom,Windsor,567,54.5673,-5.944
AMAZON-02,52.84.136.180,United Kingdom,Manchester,72,53.4809,-2.2374
FASTLY,199.232.57.194,United Kingdom,Windsor,119,54.5673,-5.944
FACEBOOK,157.240.225.35,United Kingdom,Manchester,19,53.5058,-2.2209
AMAZON-02,13.33.52.44,United Kingdom,Manchester,24,53.4809,-2.2374
AMAZON-02,13.224.81.37,United Kingdom,Manchester,51,53.5039,-2.1959
FASTLY,199.232.140.157,United Kingdom,London,22,51.5095,-0.0955
GOOGLE,216.58.212.238,Bulgaria,Sofia,66,42.697708,23.321868
GOOGLE,142.250.187.194,Bulgaria,Sofia,401,42.697708,23.321868
GOOGLE,216.58.212.226,Bulgaria,Sofia,143,42.697708,23.321868
CLOUDFLARENET,104.19.149.54,Canada,Toronto,114,43.6426,-79.4002
AMAZON-02,13.224.86.211,United Kingdom,Manchester,49,53.4809,-2.2374
CLOUDFLARENET,172.67.69.247,United States,San Francisco,29,37.6811,-122.4806
GOOGLE,142.250.187.195,Bulgaria,Sofia,155,42.697708,23.321868
AMAZON-02,52.84.140.52,United Kingdom,Manchester,10,53.5039,-2.1959
TWITTER,104.244.42.195,United States,San Francisco,28,37.7771,-122.406
TWITTER,104.244.42.133,United States,San Francisco,29,37.6811,-122.4806
GOOGLE,35.241.9.51,United States,Kansas City,23,39.1027,-94.5778
GOOGLE,34.107.254.252,United States,Kansas City,96,39.1027,-94.5778
ASN-APPNEX,185.33.220.145,Netherlands,Amsterdam,53,52.3759,4.8975
Virgin Media Limited,62.252.188.251,United Kingdom,Sunbury-on-Thames,73,51.4009,-0.4143
GOOGLE,142.250.179.226,United Kingdom,London,89,51.5074,-0.1196
GOOGLE,74.125.140.157,Belgium,Brussels,24,50.8336,4.3337
MICROSOFT-CORP-MSN-AS-BLOCK,20.50.2.28,Netherlands,Amsterdam,11,52.3759,4.8975
AMAZON-02,54.154.224.25,Ireland,Dublin,104,53.3382,-6.2591
GOOGLE,142.250.179.228,United Kingdom,London,92,51.5074,-0.1196
GOOGLE,172.217.169.3,United Kingdom,London,45,51.5074,-0.1196
SUCURI-SEC,192.124.249.24,United States,Menifee,24,33.6647,-117.1743
AS-PUBMATIC,185.64.190.78,United Kingdom,London,26,51.5074,-0.1196
GOOGLE,35.244.159.8,United States,Kansas City,46,39.1027,-94.5778
AMAZON-02,18.203.97.155,Ireland,Dublin,35,53.3382,-6.2591
AS-PUBMATIC,185.64.189.112,Netherlands,Haarlem,18,52.3803,4.6422
Criteo SA,178.250.0.165,France,Paris,26,48.8323,2.4075
AMAZON-02,52.94.220.185,Ireland,Dublin,27,53.3382,-6.2591
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.211.66,United Kingdom,London,37,51.5095,-0.0955
MICROSOFT-CORP-MSN-AS-BLOCK,52.114.104.170,France,Paris,1,48.8323,2.4075
GOOGLE,172.217.169.34,United Kingdom,London,37,51.5095,-0.0955
GOOGLE,142.250.200.34,United Kingdom,London,65,51.5074,-0.1196
GOOGLE,142.250.187.226,Bulgaria,Sofia,132,42.697708,23.321868
GOOGLE,142.250.200.33,United Kingdom,London,179,51.5095,-0.0955
GOOGLE,142.250.200.1,United Kingdom,London,371,51.5095,-0.0955
GOOGLE,34.102.143.98,United States,Kansas City,22,39.1027,-94.5778
AKAMAI-AS,96.16.81.168,United Kingdom,Slough,132,51.4989,-0.5806
FASTLY,199.232.57.44,United Kingdom,Windsor,155,54.5673,-5.944
GOOGLE,172.217.169.66,United Kingdom,London,54,51.5074,-0.1196
AMAZON-02,18.196.6.202,Germany,Frankfurt am Main,17,50.1188,8.6843
AMAZON-02,18.203.197.143,Ireland,Dublin,60,53.3382,-6.2591
AMAZON-02,52.56.234.21,United Kingdom,London,13,51.5095,-0.0955
GOOGLE,34.98.64.218,United States,Kansas City,12,39.1027,-94.5778
Criteo SA,178.250.2.146,France,Paris,41,48.8323,2.4075
Taboola.com ltd,141.226.228.48,Netherlands,Amsterdam,12,52.352,4.9392
AMAZON-02,13.33.52.54,United Kingdom,Manchester,59,53.5039,-2.1959
Criteo SA,178.250.6.80,France,Paris,28,48.8323,2.4075
Criteo SA,178.250.6.192,France,Paris,28,48.8323,2.4075
Criteo SA,178.250.0.157,France,Paris,16,48.8323,2.4075
Criteo SA,178.250.2.130,France,Paris,124,48.8323,2.4075
GOOGLE,35.186.224.47,United States,Kansas City,30,39.1027,-94.5778
Criteo SA,178.250.2.150,France,Paris,99,48.8323,2.4075
GOOGLE,142.250.179.230,United Kingdom,London,462,51.5095,-0.0955
GOOGLE,34.120.237.76,United States,Kansas City,1,39.1027,-94.5778
GOOGLE,34.120.115.102,United States,Kansas City,1,39.1027,-94.5778
FASTLY,199.232.58.49,United Kingdom,London,26,51.5016,-0.0149
myLoc managed IT AG,85.114.159.93,Germany,Düsseldorf,14,51.2184,6.7734
OVH SAS,51.75.146.199,Germany,Limburg an der Lahn,35,50.3846,8.0472
OVH SAS,54.36.150.186,France,Paris,15,48.8323,2.4075
Adform A/S,37.157.6.241,Denmark,Copenhagen,39,55.674,12.5696
SmartAdServer SAS,185.86.137.131,France,Paris,35,48.8323,2.4075
AMAZON-02,34.245.154.233,Ireland,Dublin,29,53.3382,-6.2591
AMAZON-02,15.197.193.217,Canada,Montreal,20,45.4724,-73.6141
GOOGLE,130.211.16.53,United States,Kansas City,17,39.1027,-94.5778
VOXEL-DOT-NET,216.52.2.19,Netherlands,Amsterdam,46,52.3759,4.8975
RUBICONPROJECT,213.19.162.80,Netherlands,Amsterdam,17,52.352,4.9392
AMAZON-02,18.194.211.85,Germany,Frankfurt am Main,32,50.1188,8.6843
GOOGLE,35.227.252.103,United States,Kansas City,33,39.1027,-94.5778
SmartAdServer SAS,185.86.139.93,France,Paris,36,48.8323,2.4075
CLOUDFLARENET,104.16.190.66,Canada,Toronto,8,43.6426,-79.4002
AMAZON-02,76.223.111.18,United States,Seattle,20,47.63,-122.2972
AMAZON-02,35.158.213.49,Germany,Frankfurt am Main,56,50.099209,8.630393
AKAMAI-AS,23.217.4.193,United Kingdom,Manchester,13,53.5058,-2.2209
AMAZON-02,209.54.180.3,United States,Ashburn,6,39.0469,-77.4903
AMAZON-02,52.210.7.127,Ireland,Dublin,43,53.3382,-6.2591
CLOUDFLARENET,104.18.21.226,Canada,Toronto,6,43.7593,-79.5224
GOOGLE,35.186.224.18,United States,Kansas City,14,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,65.55.44.109,United States,Boydton,151,36.6534,-78.375
