occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
806.25,778.47,556865.5,521920.4,10.5,3.11,0.9372,0.9655,0.2961,GOOGLE,76.7857
88.75,123.62,11840,16193.61,1.5,1.29,1.3677,1.3929,0.8607,Virgin Media Limited,59.1667
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
290.25,103.73,123579.25,51847.65,5,2.83,0.4195,0.3574,0.5657,MICROSOFT-CORP-MSN-AS-BLOCK,58.05
9.25,10.69,2902,4482.3,0.5,0.58,1.5446,1.1555,1.1547,FACEBOOK,18.5
71,79.59,45604.5,77694.9,2.25,1.71,1.7037,1.1209,0.759,CLOUDFLARENET,31.5556
323.5,81.13,204014,98514.8,13.5,3.79,0.4829,0.2508,0.2804,AMAZON-02,23.963
10.5,21.0,567,1134.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,21.0
20.5,31.85,6572.5,12055.18,1.25,1.26,1.8342,1.5536,1.0066,Yahoo! UK Services Limited,16.4
48.5,31.65,23974.5,13988.73,2.5,1.0,0.5835,0.6526,0.4,APPLE-ENGINEERING,19.4
32.75,64.17,13183,26235.5,1.5,2.38,1.9901,1.9595,1.587,AMAZON-AES,21.8333
373,594.76,465872,910231.63,2.5,2.65,1.9538,1.5945,1.0583,EDGECAST,149.2
63.25,117.99,57007.75,113544.66,1.25,1.89,1.9917,1.8655,1.5144,AKAMAI-AS,50.6
5.5,8.02,487,809.99,0.5,0.58,1.6632,1.4583,1.1547,RUBICONPROJECT,11.0
11,13.11,4070,4912.76,0.5,0.58,1.2071,1.1923,1.1547,AS-PUBMATIC,22.0
12.75,25.5,5889.25,11778.5,0.5,1.0,2.0,2.0,2.0,Adform A/S,25.5
14.25,28.5,4620.25,9240.5,0.5,1.0,2.0,2.0,2.0,TWITTER,28.5
3,6.0,1240.5,2481.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,12.0
7.5,15.0,963.75,1927.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,15.0
21.75,32.62,10603.25,18102.96,0.75,0.96,1.7073,1.4999,1.2766,ASN-APPNEX,29.0
4.25,8.5,2346,4692.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,17.0
225,274.66,238534,303975.79,1.75,1.71,1.2743,1.2207,0.9759,FASTLY,128.5714
27,54.0,24526.25,49052.5,1,2.0,2.0,2.0,2.0,THM,27.0
30.5,53.3,6546,11775.73,2.5,4.36,1.7989,1.7476,1.7436,EBAY,12.2
169.75,212.69,116546.25,186899.97,2.75,2.36,1.6037,1.253,0.8592,Criteo SA,61.7273
1.75,3.5,94.75,189.5,0.25,0.5,2.0,2.0,2.0,Amobee EMEA Limited,7.0
3.5,7.0,1348.75,2697.5,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,14.0
24.25,30.09,11805,14645.51,1,1.41,1.2406,1.2409,1.4142,SmartAdServer SAS,24.25
4.25,8.5,2041.5,4083.0,0.25,0.5,2.0,2.0,2.0,RHYTHMONE,17.0
4.75,9.5,1685.25,3370.5,0.25,0.5,2.0,2.0,2.0,Hetzner Online GmbH,19.0
4.25,8.5,2036,4072.0,0.25,0.5,2.0,2.0,2.0,PULSEPOINT,17.0
11.5,23.0,5485,10970.0,0.25,0.5,2.0,2.0,2.0,VOXEL-DOT-NET,46.0
2,4.0,104,208.0,0.25,0.5,2.0,2.0,2.0,LEVEL3,8.0
3.75,7.5,1429.75,2859.5,0.25,0.5,2.0,2.0,2.0,Vente-privee.com SA,15.0
0.75,1.5,58.5,117.0,0.25,0.5,2.0,2.0,2.0,YAHOO-YSM-SC8,3.0
4.25,8.5,1919.75,3839.5,0.25,0.5,2.0,2.0,2.0,internet content provider,17.0
1,2.0,52,104.0,0.25,0.5,2.0,2.0,2.0,LLNW,4.0
0.75,1.5,58.5,117.0,0.25,0.5,2.0,2.0,2.0,YAHOO,3.0
7,14.0,3445.5,6891.0,0.5,1.0,2.0,2.0,2.0,YAHOO-1,14.0
12.5,16.58,5730.75,8295.75,0.5,0.58,1.4476,1.3266,1.1547,OVH SAS,25.0
1.5,3.0,87.5,175.0,0.25,0.5,2.0,2.0,2.0,Akamai International B.V.,6.0
3.5,7.0,1719.75,3439.5,0.25,0.5,2.0,2.0,2.0,YAHOO-BCST-AC2,14.0
