occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
836.25,655.07,540582,337076.84,9,4.55,0.6235,0.7833,0.5051,GOOGLE,92.9167
80.25,119.34,13158.25,17877.22,1.25,0.96,1.3586,1.4871,0.7659,Virgin Media Limited,64.2
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
252.25,248.63,103817,104094.36,3.75,2.99,1.0027,0.9857,0.7963,MICROSOFT-CORP-MSN-AS-BLOCK,67.2667
9.25,10.69,1865.75,2482.02,0.5,0.58,1.3303,1.1555,1.1547,FACEBOOK,18.5
64.75,69.26,36099.5,55590.04,2.25,1.71,1.5399,1.0696,0.759,CLOUDFLARENET,28.7778
455.75,196.35,268329.25,137640.99,16,5.1,0.513,0.4308,0.3187,AMAZON-02,28.4844
9.75,19.5,543,1086.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,19.5
237,349.99,238108.5,389637.17,1.5,1.29,1.6364,1.4767,0.8607,Yahoo! UK Services Limited,158.0
49.5,55.38,20982.5,26609.39,4,4.0,1.2682,1.1188,1.0,APPLE-ENGINEERING,12.375
581.25,820.0,734565.25,1269002.11,2.25,2.63,1.7276,1.4108,1.1689,EDGECAST,258.3333
72.75,82.98,63868.75,76241.03,2,1.83,1.1937,1.1406,0.9129,AKAMAI-AS,36.375
11.5,14.15,3046,3531.24,0.5,0.58,1.1593,1.2308,1.1547,RUBICONPROJECT,23.0
15,19.15,5505.75,7584.01,0.75,0.96,1.3775,1.2766,1.2766,AS-PUBMATIC,20.0
19.75,24.36,8785,10609.61,0.5,0.58,1.2077,1.2336,1.1547,Adform A/S,39.5
30.5,59.02,14313.75,28510.95,0.75,0.96,1.9919,1.935,1.2766,ASN-APPNEX,40.6667
11.75,23.5,4046.25,8092.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,23.5
10.5,21.0,4378.25,8756.5,0.5,1.0,2.0,2.0,2.0,TWITTER,21.0
2.5,5.0,1198,2396.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,10.0
234.25,434.74,244966.25,473567.72,1.75,1.71,1.9332,1.8559,0.9759,FASTLY,133.8571
35.75,71.5,31355,62710.0,1,2.0,2.0,2.0,2.0,THM,35.75
46.25,84.06,17311.25,33248.34,2.5,4.36,1.9206,1.8174,1.7436,EBAY,18.5
395.75,691.15,388040,751723.5,3.75,3.77,1.9372,1.7464,1.0066,Criteo SA,105.5333
4.75,6.18,1945.25,3667.98,0.5,0.58,1.8856,1.302,1.1547,Amobee EMEA Limited,9.5
1.5,3.0,67.75,135.5,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,6.0
34.5,53.64,17438,29696.48,0.75,0.96,1.703,1.5549,1.2766,SmartAdServer SAS,46.0
1.5,3.0,78.75,157.5,0.25,0.5,2.0,2.0,2.0,STEADFAST,6.0
1,2.0,63.5,127.0,0.25,0.5,2.0,2.0,2.0,SOFTLAYER,4.0
7,8.25,2784.75,3219.97,0.5,0.58,1.1563,1.178,1.1547,MEDIAMATH-INC,14.0
9,18.0,3705,7410.0,0.25,0.5,2.0,2.0,2.0,RHYTHMONE,36.0
17.5,25.98,9055,13685.24,0.5,0.58,1.5113,1.4846,1.1547,VOXEL-DOT-NET,35.0
8.5,17.0,3798.25,7596.5,0.25,0.5,2.0,2.0,2.0,PULSEPOINT,34.0
2.75,5.5,143,286.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,11.0
1.5,3.0,138.75,277.5,0.25,0.5,2.0,2.0,2.0,COGENT-174,6.0
0.5,1.0,20,40.0,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,2.0
2.25,2.63,143.75,168.5,0.5,0.58,1.1722,1.1689,1.1547,Hetzner Online GmbH,4.5
3.5,7.0,2057,4114.0,0.25,0.5,2.0,2.0,2.0,LLNW,14.0
3.25,6.5,1702.5,3405.0,0.25,0.5,2.0,2.0,2.0,YAHOO-BF1,13.0
2.25,4.5,315,630.0,0.25,0.5,2.0,2.0,2.0,LEVEL3,9.0
38.25,41.68,12886.5,16789.82,1.25,0.5,1.3029,1.0896,0.4,AMAZON-AES,30.6
8.75,17.5,4757.75,9515.5,0.5,1.0,2.0,2.0,2.0,YAHOO-1,17.5
7.25,14.5,3367.75,6735.5,0.25,0.5,2.0,2.0,2.0,Internet content provider,29.0
3.25,6.5,1738.5,3477.0,0.25,0.5,2.0,2.0,2.0,Rtb House S.A.,13.0
7.5,15.0,3580,7160.0,0.5,1.0,2.0,2.0,2.0,OVH SAS,15.0
4,8.0,1817,3634.0,0.25,0.5,2.0,2.0,2.0,Iguane Solutions SAS,16.0
5,10.0,2730,5460.0,0.25,0.5,2.0,2.0,2.0,Akamai International B.V.,20.0
4.5,9.0,2853,5706.0,0.25,0.5,2.0,2.0,2.0,AS-OUTBRAIN,18.0
6.25,12.5,3305.5,6611.0,0.25,0.5,2.0,2.0,2.0,internet content provider,25.0
1.5,3.0,97.5,195.0,0.25,0.5,2.0,2.0,2.0,"Linode, LLC",6.0
