occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1000.75,664.55,692143.75,504746.41,11.25,2.5,0.7293,0.6641,0.2222,GOOGLE,88.9556
116,188.25,26242.25,42486.29,2,2.45,1.619,1.6228,1.2247,Virgin Media Limited,58.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
38,9.27,18969.5,5137.62,3.75,0.5,0.2708,0.244,0.1333,APPLE-ENGINEERING,10.1333
215.5,239.02,83390.5,93021.23,4.25,2.5,1.1155,1.1091,0.5882,MICROSOFT-CORP-MSN-AS-BLOCK,50.7059
12.5,25.0,3402.75,6805.5,0.5,1.0,2.0,2.0,2.0,FACEBOOK,25.0
91.5,111.78,75853.5,124458.96,2.5,1.29,1.6408,1.2216,0.5164,CLOUDFLARENET,36.6
452.25,131.62,250601.75,130154.46,19.5,4.12,0.5194,0.291,0.2114,AMAZON-02,23.1923
32.25,15.06,14156.5,9809.82,2.75,2.06,0.693,0.4671,0.7497,AMAZON-AES,11.7273
9,18.0,504,1008.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,36.0
618,1186.23,804166.75,1575212.45,2.25,1.71,1.9588,1.9195,0.759,EDGECAST,274.6667
383,653.44,471109.25,852303.56,1.5,1.29,1.8091,1.7061,0.8607,Yahoo! UK Services Limited,255.3333
113.5,176.07,74536.25,134717.7,2.75,3.1,1.8074,1.5513,1.1257,AKAMAI-AS,41.2727
9.75,11.32,2888,3390.98,0.5,0.58,1.1742,1.1615,1.1547,RUBICONPROJECT,19.5
3,6.0,1371.75,2743.5,0.25,0.5,2.0,2.0,2.0,Netic A/S,12.0
59,78.01,24181,34922.75,1.5,1.0,1.4442,1.3223,0.6667,AS-PUBMATIC,39.3333
13.5,27.0,4137.25,8274.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,27.0
2.75,5.5,1054,2108.0,0.25,0.5,2.0,2.0,2.0,STACKPATH-CDN,11.0
43,37.52,21034,23018.08,1,0.0,1.0943,0.8726,0.0,ASN-APPNEX,43.0
6,12.0,1796,3592.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",24.0
12.75,25.5,4528.25,9056.5,0.5,1.0,2.0,2.0,2.0,TWITTER,25.5
5,10.0,1599.5,3199.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,20.0
192.75,279.0,197460.75,303621.45,1.5,1.0,1.5376,1.4474,0.6667,FASTLY,128.5
41,82.0,36724.75,73449.5,1,2.0,2.0,2.0,2.0,THM,41.0
35.25,70.5,11081.75,22163.5,1.75,3.5,2.0,2.0,2.0,EBAY,20.1429
16,32.0,9450.75,18901.5,0.25,0.5,2.0,2.0,2.0,Adform A/S,64.0
9,13.22,2173.5,3070.26,0.5,0.58,1.4126,1.4685,1.1547,Akamai International B.V.,18.0
188.5,288.18,124485.25,229597.86,2.75,3.1,1.8444,1.5288,1.1257,Criteo SA,68.5455
