occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1102,1236.24,772797.75,867393.19,11,4.69,1.1224,1.1218,0.4264,GOOGLE,100.1818
89.25,133.79,15356,20001.97,1.5,1.73,1.3026,1.4991,1.1547,Virgin Media Limited,59.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
85.5,90.25,32718.25,38698.09,4.25,3.77,1.1828,1.0556,0.8882,APPLE-ENGINEERING,20.1176
234.5,207.06,99100.75,86744.08,5,3.46,0.8753,0.883,0.6928,MICROSOFT-CORP-MSN-AS-BLOCK,46.9
13.75,27.5,3534.5,7069.0,0.5,1.0,2.0,2.0,2.0,FACEBOOK,27.5
79,101.48,61095,100783.92,2.5,0.58,1.6496,1.2845,0.2309,CLOUDFLARENET,31.6
451,134.87,253196.5,52607.54,22,2.94,0.2078,0.299,0.1338,AMAZON-02,20.5
12.25,24.5,658,1316.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,49.0
90,116.3,27778.25,26336.64,2,1.63,0.9481,1.2922,0.8165,EDGECAST,45.0
306.75,613.5,353906.25,707812.5,1,2.0,2.0,2.0,2.0,Yahoo! UK Services Limited,306.75
105,114.04,67183.75,113188.54,3.25,1.26,1.6848,1.0861,0.3872,AKAMAI-AS,32.3077
10.5,12.37,2212.25,3227.75,0.5,0.58,1.459,1.178,1.1547,RUBICONPROJECT,21.0
5,10.0,1744,3488.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",20.0
3.75,7.5,1414.25,2828.5,0.25,0.5,2.0,2.0,2.0,Netic A/S,15.0
29.25,20.55,9272,6189.92,1.75,1.26,0.6676,0.7025,0.719,AS-PUBMATIC,16.7143
7.5,15.0,396.25,792.5,0.5,1.0,2.0,2.0,2.0,STACKPATH-CDN,15.0
12,17.45,6918,10189.83,0.5,0.58,1.4729,1.4546,1.1547,Adform A/S,24.0
35.75,41.88,13901.25,18916.78,1.25,0.5,1.3608,1.1716,0.4,ASN-APPNEX,28.6
15.75,31.5,4710.5,9421.0,0.5,1.0,2.0,2.0,2.0,TWITTER,31.5
35,55.25,14629,24835.73,2.5,2.38,1.6977,1.5786,0.9522,AMAZON-AES,14.0
4,8.0,1462.75,2925.5,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,16.0
12,16.51,3123,4121.44,0.5,0.58,1.3197,1.3761,1.1547,SUCURI-SEC,24.0
4,8.0,2044.5,4089.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,16.0
193,292.19,197362.5,311462.95,2,1.41,1.5781,1.514,0.7071,FASTLY,96.5
41.5,83.0,36572.5,73145.0,1,2.0,2.0,2.0,2.0,THM,41.5
46.75,93.5,13732.75,27465.5,1.75,3.5,2.0,2.0,2.0,EBAY,26.7143
9.25,15.95,2949,5760.17,0.5,0.58,1.9533,1.7238,1.1547,Akamai International B.V.,18.5
257.5,244.83,209325.5,291046.78,3.25,2.63,1.3904,0.9508,0.8092,Criteo SA,79.2308
12.25,24.5,3931.5,7863.0,0.5,1.0,2.0,2.0,2.0,Amobee EMEA Limited,24.5
6,12.0,2256.25,4512.5,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,24.0
18,36.0,6261.25,12522.5,0.5,1.0,2.0,2.0,2.0,MEDIAMATH-INC,36.0
64,111.34,30241,55177.51,0.75,0.96,1.8246,1.7397,1.2766,SmartAdServer SAS,85.3333
4.75,6.6,1354,2444.84,0.75,0.96,1.8056,1.3898,1.2766,Hetzner Online GmbH,6.3333
5,5.6,1208.25,2115.34,0.75,0.5,1.7507,1.1195,0.6667,Conversant LLC,6.6667
2,4.0,341,682.0,0.25,0.5,2.0,2.0,2.0,SOFTLAYER,8.0
4.5,9.0,1368.25,2736.5,0.25,0.5,2.0,2.0,2.0,"Alibaba US Technology Co., Ltd.",18.0
26.25,30.1,11881,14903.95,1.25,0.96,1.2544,1.1468,0.7659,VOXEL-DOT-NET,21.0
15.75,31.5,6319.75,12639.5,0.5,1.0,2.0,2.0,2.0,RHYTHMONE,31.5
1.25,2.5,65.75,131.5,0.25,0.5,2.0,2.0,2.0,STEADFAST,5.0
5.75,11.5,2326,4652.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,23.0
1.5,3.0,123.75,247.5,0.25,0.5,2.0,2.0,2.0,DEEPINTENT,6.0
27,45.15,12496.5,21222.17,0.5,0.58,1.6982,1.6723,1.1547,Vente-privee.com SA,54.0
2.75,3.77,138.75,199.45,0.5,0.58,1.4375,1.3727,1.1547,COGENT-174,5.5
9.75,19.5,4179.25,8358.5,0.25,0.5,2.0,2.0,2.0,PULSEPOINT,39.0
5,10.0,2271.5,4543.0,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,20.0
11,22.0,7164,14328.0,0.25,0.5,2.0,2.0,2.0,AS-OUTBRAIN,44.0
1,2.0,52,104.0,0.25,0.5,2.0,2.0,2.0,CASALE-MEDIA,4.0
1,2.0,71.5,143.0,0.25,0.5,2.0,2.0,2.0,"Linode, LLC",4.0
51.25,86.64,30545.75,55420.72,1,1.15,1.8144,1.6905,1.1547,OVH SAS,51.25
2.5,5.0,1287,2574.0,0.25,0.5,2.0,2.0,2.0,Rtb House S.A.,10.0
3.5,7.0,1790.75,3581.5,0.25,0.5,2.0,2.0,2.0,Iguane Solutions SAS,14.0
1.25,2.5,59.75,119.5,0.25,0.5,2.0,2.0,2.0,Telia Company AB,5.0
5.5,11.0,1474.25,2948.5,0.25,0.5,2.0,2.0,2.0,WEBAIR-INTERNET,22.0
