occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1318.5,672.55,978763.25,800441.21,12.5,3.87,0.8178,0.5101,0.3098,GOOGLE,105.48
137,229.53,32028.5,52736.28,1.75,2.22,1.6465,1.6754,1.2671,Virgin Media Limited,78.2857
99,136.33,19146.5,10334.38,3.5,1.73,0.5398,1.377,0.4949,APPLE-ENGINEERING,28.2857
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
213.5,281.97,88143.75,107797.63,4.25,1.71,1.223,1.3207,0.4018,MICROSOFT-CORP-MSN-AS-BLOCK,50.2353
25.25,45.95,5895,11306.61,0.75,0.96,1.918,1.8199,1.2766,FACEBOOK,33.6667
113.25,102.25,83348.25,125884.92,3.25,2.06,1.5103,0.9028,0.6343,CLOUDFLARENET,34.8462
561.25,150.1,342345.5,121582.63,21.75,2.36,0.3551,0.2674,0.1086,AMAZON-02,25.8046
9.75,19.5,549,1098.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,39.0
98.5,77.72,35484.75,23311.17,3.75,1.89,0.6569,0.789,0.5048,AMAZON-AES,26.2667
156,176.69,133981.75,205607.0,2.25,2.63,1.5346,1.1326,1.1689,EDGECAST,69.3333
0.5,1.0,38,76.0,0.5,1.0,2.0,2.0,2.0,APPLE-AUSTIN,1.0
173.75,185.89,126682.5,133913.78,4.25,2.06,1.0571,1.0699,0.4851,AKAMAI-AS,40.8824
12.75,14.77,3536.75,4294.39,0.5,0.58,1.2142,1.1587,1.1547,RUBICONPROJECT,25.5
3.5,7.0,2262.5,4525.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,14.0
67.75,51.93,27050,20294.11,1.5,1.29,0.7502,0.7664,0.8607,AS-PUBMATIC,45.1667
17,30.13,6606.75,13006.33,0.75,0.96,1.9686,1.7725,1.2766,SUCURI-SEC,22.6667
79.5,159.0,76549.25,153098.5,0.5,1.0,2.0,2.0,2.0,STACKPATH-CDN,159.0
1,2.0,52,104.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",4.0
21.75,20.84,12742,12645.4,1,0.0,0.9924,0.9581,0.0,Adform A/S,21.75
14.75,29.5,4660,9320.0,0.5,1.0,2.0,2.0,2.0,TWITTER,29.5
8.75,17.5,3816,7632.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,35.0
46.25,34.47,20915.25,16513.08,1.75,1.5,0.7895,0.7453,0.8571,ASN-APPNEX,26.4286
332.25,421.27,351650.25,487087.61,1.75,1.26,1.3851,1.2679,0.719,FASTLY,189.8571
41,82.0,36553.25,73106.5,1,2.0,2.0,2.0,2.0,THM,41.0
40,80.0,12821.25,25642.5,1.5,3.0,2.0,2.0,2.0,EBAY,26.6667
9.5,17.06,2355,4622.42,0.75,0.96,1.9628,1.7957,1.2766,COGENT-174,12.6667
98.25,92.37,41160.25,46692.81,3,2.45,1.1344,0.9402,0.8165,Criteo SA,32.75
27.25,50.58,10089,19952.64,0.5,0.58,1.9777,1.8561,1.1547,Amobee EMEA Limited,54.5
15,30.0,6221.25,12442.5,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,60.0
280.75,475.12,324714,569538.35,1.25,0.96,1.754,1.6923,0.7659,Yahoo! UK Services Limited,224.6
90,98.86,43237,48322.1,1.25,1.26,1.1176,1.0985,1.0066,SmartAdServer SAS,72.0
10.75,7.63,5017.25,3349.9,0.75,0.5,0.6677,0.71,0.6667,Conversant LLC,14.3333
14.75,29.5,7076.25,14152.5,0.5,1.0,2.0,2.0,2.0,MEDIAMATH-INC,29.5
15.5,12.69,7238.75,5702.61,1,0.82,0.7878,0.8186,0.8165,Hetzner Online GmbH,15.5
4.5,7.72,1912,3694.49,0.5,0.58,1.9323,1.7165,1.1547,SOFTLAYER,9.0
3.25,6.5,1088.25,2176.5,0.25,0.5,2.0,2.0,2.0,DEEPINTENT,13.0
10.25,20.5,5346.5,10693.0,0.5,1.0,2.0,2.0,2.0,Iguane Solutions SAS,20.5
17.25,34.5,6755.25,13510.5,0.5,1.0,2.0,2.0,2.0,RHYTHMONE,34.5
1.75,3.5,101.5,203.0,0.25,0.5,2.0,2.0,2.0,STEADFAST,7.0
4,8.0,1944,3888.0,0.25,0.5,2.0,2.0,2.0,DIGITALOCEAN-ASN,16.0
8.75,17.5,4125,8250.0,0.25,0.5,2.0,2.0,2.0,PULSEPOINT,35.0
2.5,5.0,1343.25,2686.5,0.25,0.5,2.0,2.0,2.0,IPROM d.o.o,10.0
21,23.68,11706.25,12248.61,0.75,0.5,1.0463,1.1275,0.6667,VOXEL-DOT-NET,28.0
5.25,10.5,2300,4600.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,21.0
13.25,26.5,6130.75,12261.5,0.25,0.5,2.0,2.0,2.0,Vente-privee.com SA,53.0
2.75,5.5,1143.75,2287.5,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,11.0
1,2.0,52,104.0,0.25,0.5,2.0,2.0,2.0,LLNW,4.0
2,4.0,104,208.0,0.25,0.5,2.0,2.0,2.0,LEVEL3,8.0
4.5,9.0,1723.25,3446.5,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,18.0
53,62.33,30850.5,41448.97,1,0.82,1.3435,1.176,0.8165,OVH SAS,53.0
12.5,18.93,9369.25,13409.06,0.5,0.58,1.4312,1.5144,1.1547,AS-OUTBRAIN,25.0
3.25,6.5,2025.25,4050.5,0.25,0.5,2.0,2.0,2.0,Telia Company AB,13.0
2,4.0,123.5,247.0,0.25,0.5,2.0,2.0,2.0,YAHOO-YSM-SC8,8.0
1.25,2.5,84.5,169.0,0.25,0.5,2.0,2.0,2.0,YAHOO-1,5.0
4.25,8.5,1963.25,3926.5,0.25,0.5,2.0,2.0,2.0,Rtb House S.A.,17.0
15,30.0,6715.75,13431.5,0.5,1.0,2.0,2.0,2.0,GOOGLE-CLOUD-PLATFORM,30.0
4.5,5.74,1856.75,2527.15,0.5,0.58,1.3611,1.2766,1.1547,Akamai International B.V.,9.0
7,14.0,2219.5,4439.0,0.25,0.5,2.0,2.0,2.0,COGECO-PEER1,28.0
1,2.0,71.5,143.0,0.25,0.5,2.0,2.0,2.0,SERVERS-COM,4.0
6,12.0,3673.5,7347.0,0.25,0.5,2.0,2.0,2.0,LEASEWEB-USA-WDC,24.0
14.5,29.0,6733.5,13467.0,0.25,0.5,2.0,2.0,2.0,internet content provider,58.0
11.5,23.0,6565,13130.0,0.5,1.0,2.0,2.0,2.0,DOUBLE-VERIFY,23.0
