occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1256.75,1166.67,926890.25,980647.71,11.75,5.85,1.058,0.9283,0.4981,GOOGLE,106.9574
123.75,157.67,43133.25,55157.8,1.75,1.5,1.2788,1.2741,0.8571,Virgin Media Limited,70.7143
115.25,59.79,57583.5,37504.09,5,1.41,0.6513,0.5188,0.2828,APPLE-ENGINEERING,23.05
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
89.25,105.46,41324.25,48866.07,4.25,3.3,1.1825,1.1816,0.7774,MICROSOFT-CORP-MSN-AS-BLOCK,21.0
20.25,28.29,5229.75,8944.69,0.5,0.58,1.7103,1.397,1.1547,FACEBOOK,40.5
116.25,154.38,88659,156747.04,3,2.71,1.768,1.328,0.9027,CLOUDFLARENET,38.75
783.5,623.49,669496.25,644079.02,20.5,6.76,0.962,0.7958,0.3296,AMAZON-02,38.2195
39,14.7,19276.75,8236.15,2.75,1.5,0.4273,0.3768,0.5455,AMAZON-AES,14.1818
194.75,111.24,134910.25,81454.93,4,1.63,0.6038,0.5712,0.4082,AKAMAI-AS,48.6875
89.75,110.65,30531,36539.9,2.25,3.3,1.1968,1.2329,1.4685,EDGECAST,39.8889
12,14.7,3139,3630.39,0.75,0.96,1.1565,1.2247,1.2766,RUBICONPROJECT,16.0
2,4.0,104,208.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",8.0
6,12.0,2910.5,5821.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,24.0
61.5,63.2,25131.75,30465.71,1.5,1.29,1.2122,1.0276,0.8607,AS-PUBMATIC,41.0
14.5,29.0,4765.5,9531.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,29.0
121.75,243.5,119994.25,239988.5,0.5,1.0,2.0,2.0,2.0,STACKPATH-CDN,243.5
16.5,24.06,9606.5,13636.03,0.75,0.96,1.4195,1.4583,1.2766,Adform A/S,22.0
14.5,29.0,4739,9478.0,0.5,1.0,2.0,2.0,2.0,TWITTER,29.0
39.75,40.5,21899.75,28651.12,1,0.82,1.3083,1.0189,0.8165,ASN-APPNEX,39.75
4.75,9.5,1573,3146.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,19.0
272,462.91,284749,529131.1,1.75,1.26,1.8582,1.7019,0.719,FASTLY,155.4286
40.75,81.5,36466.5,72933.0,1,2.0,2.0,2.0,2.0,THM,40.75
39.25,78.5,10216.75,20433.5,1.75,3.5,2.0,2.0,2.0,EBAY,22.4286
10.5,13.33,2381.75,4195.9,0.75,0.5,1.7617,1.2694,0.6667,COGENT-174,14.0
1.5,3.0,518.75,1037.5,0.25,0.5,2.0,2.0,2.0,Akamai International B.V.,6.0
99.5,167.39,35862.5,60200.78,3,4.69,1.6787,1.6823,1.5635,Criteo SA,33.1667
21.25,37.98,8346.75,16441.8,0.5,0.58,1.9698,1.7872,1.1547,Amobee EMEA Limited,42.5
6.5,13.0,2415,4830.0,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,26.0
21,31.7,8227.75,13182.97,0.5,0.58,1.6023,1.5094,1.1547,MEDIAMATH-INC,42.0
72.25,81.0,34020.5,36670.21,1.25,0.5,1.0779,1.1211,0.4,SmartAdServer SAS,57.8
19.25,38.5,12690.5,25381.0,0.25,0.5,2.0,2.0,2.0,AS-OUTBRAIN,77.0
287.75,513.5,329824.75,588748.56,1,1.41,1.785,1.7845,1.4142,Yahoo! UK Services Limited,287.75
10.25,4.86,4980.25,3185.97,1,0.0,0.6397,0.4738,0.0,Conversant LLC,10.25
5,7.57,1707,3246.88,0.5,0.58,1.9021,1.5144,1.1547,SOFTLAYER,10.0
4.25,8.5,1166.5,2333.0,0.25,0.5,2.0,2.0,2.0,DEEPINTENT,17.0
4,8.0,1816.5,3633.0,0.25,0.5,2.0,2.0,2.0,Iguane Solutions SAS,16.0
18.5,37.0,8161,16322.0,0.25,0.5,2.0,2.0,2.0,RHYTHMONE,74.0
1,2.0,43,86.0,0.25,0.5,2.0,2.0,2.0,STEADFAST,4.0
4.75,9.5,2265.5,4531.0,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,19.0
3,6.0,1886,3772.0,0.25,0.5,2.0,2.0,2.0,DIGITALOCEAN-ASN,12.0
10.5,21.0,4900.75,9801.5,0.5,1.0,2.0,2.0,2.0,PULSEPOINT,21.0
12.75,9.91,4843.25,3390.88,1,0.82,0.7001,0.7774,0.8165,Hetzner Online GmbH,12.75
2.5,5.0,1343.25,2686.5,0.25,0.5,2.0,2.0,2.0,IPROM d.o.o,10.0
5.25,10.5,2300,4600.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,21.0
21.5,43.0,10739.5,21479.0,0.25,0.5,2.0,2.0,2.0,Vente-privee.com SA,86.0
5.75,11.5,2160,4320.0,0.25,0.5,2.0,2.0,2.0,COGECO-PEER1,23.0
19.25,24.73,9993,13571.01,0.75,0.5,1.3581,1.2847,0.6667,VOXEL-DOT-NET,25.6667
10.75,21.5,586,1172.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,43.0
47,38.51,13437,16390.77,0.75,0.5,1.2198,0.8194,0.6667,DOUBLE-VERIFY,62.6667
63.25,62.06,38153.5,44767.17,1.25,0.5,1.1733,0.9812,0.4,OVH SAS,50.6
4,8.0,1934.5,3869.0,0.25,0.5,2.0,2.0,2.0,Rtb House S.A.,16.0
9,18.0,4423,8846.0,0.25,0.5,2.0,2.0,2.0,GOOGLE-CLOUD-PLATFORM,36.0
3.25,6.5,2025.25,4050.5,0.25,0.5,2.0,2.0,2.0,Telia Company AB,13.0
2,4.0,1283.5,2567.0,0.25,0.5,2.0,2.0,2.0,Limited Liability Company GPM Digital Technologies,8.0
1,2.0,61.75,123.5,0.25,0.5,2.0,2.0,2.0,"Linode, LLC",4.0
