occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1210.5,1072.05,857359.75,842556.98,12,6.38,0.9827,0.8856,0.5314,GOOGLE,100.875
136.5,162.62,59422.75,88906.86,1.5,1.29,1.4962,1.1913,0.8607,Virgin Media Limited,91.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
92.5,128.72,39517.25,59281.91,4,4.83,1.5002,1.3916,1.2076,MICROSOFT-CORP-MSN-AS-BLOCK,23.125
14.75,17.42,3550.5,4817.74,0.5,0.58,1.3569,1.1813,1.1547,FACEBOOK,29.5
106.25,109.33,72771.5,112494.84,3.25,3.2,1.5459,1.029,0.9851,CLOUDFLARENET,32.6923
91.25,108.36,28067.75,27568.06,2.5,2.65,0.9822,1.1875,1.0583,EDGECAST,36.5
310.5,556.96,348169,628473.38,1.25,1.5,1.8051,1.7937,1.2,Yahoo! UK Services Limited,248.4
611.25,181.72,373413.75,119674.96,20,4.08,0.3205,0.2973,0.2041,AMAZON-02,30.5625
32.75,40.38,15231.75,18118.83,2.75,0.96,1.1895,1.2331,0.3482,APPLE-ENGINEERING,11.9091
109.25,100.17,80629.25,86200.09,2.75,1.71,1.0691,0.9169,0.621,AKAMAI-AS,39.7273
11,22.0,3020,6040.0,0.5,1.0,2.0,2.0,2.0,RUBICONPROJECT,22.0
3,6.0,1372.5,2745.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,12.0
68.75,93.79,25713.75,28603.61,1.25,1.26,1.1124,1.3642,1.0066,AS-PUBMATIC,55.0
147,294.0,148157,296314.0,0.5,1.0,2.0,2.0,2.0,STACKPATH-CDN,294.0
2.25,4.5,117,234.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",9.0
18.75,25.08,11639.25,16195.35,0.5,0.58,1.3914,1.3375,1.1547,Adform A/S,37.5
17,34.0,6039,12078.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,34.0
11.75,23.5,4395.75,8791.5,0.5,1.0,2.0,2.0,2.0,TWITTER,23.5
