ORG,OCCURENCE
GOOGLE,62
Virgin Media Limited,13
APPLE-ENGINEERING,-16
,0
MICROSOFT-CORP-MSN-AS-BLOCK,124
FACEBOOK,5
CLOUDFLARENET,-3
AMAZON-02,-222
AMAZON-AES,60
AKAMAI-AS,-21
EDGECAST,66
RUBICONPROJECT,1
"SpotXchange, INC",-1
Netic A/S,-2
AS-PUBMATIC,6
SUCURI-SEC,2
STACKPATH-CDN,-42
Adform A/S,5
TWITTER,0
ASN-APPNEX,6
Taboola.com ltd,4
FASTLY,60
THM,0
EBAY,1
COGENT-174,-1
Akamai International B.V.,3
Criteo SA,-1
Amobee EMEA Limited,6
myLoc managed IT AG,8
MEDIAMATH-INC,-6
SmartAdServer SAS,18
AS-OUTBRAIN,-7
Yahoo! UK Services Limited,-7
Conversant LLC,0
SOFTLAYER,0
DEEPINTENT,-1
Iguane Solutions SAS,6
RHYTHMONE,-1
STEADFAST,1
ROCKETFUEL,-2
DIGITALOCEAN-ASN,1
PULSEPOINT,-2
Hetzner Online GmbH,3
IPROM d.o.o,0
BIDTELLECT,0
Vente-privee.com SA,-8
COGECO-PEER1,1
VOXEL-DOT-NET,2
NETFLIX-ASN,-1
DOUBLE-VERIFY,-36
OVH SAS,-10
Rtb House S.A.,0
GOOGLE-CLOUD-PLATFORM,6
Telia Company AB,0
