ORG,OCCURENCE
GOOGLE,108
Virgin Media Limited,0
,0
MICROSOFT-CORP-MSN-AS-BLOCK,121
FACEBOOK,10
CLOUDFLARENET,7
EDGECAST,65
Yahoo! UK Services Limited,-30
AMAZON-02,-50
APPLE-ENGINEERING,66
AKAMAI-AS,64
RUBICONPROJECT,2
Netic A/S,0
AS-PUBMATIC,-1
STACKPATH-CDN,-68
"SpotXchange, INC",-1
Adform A/S,3
SUCURI-SEC,0
TWITTER,3
Taboola.com ltd,4
FASTLY,92
THM,6
EBAY,-6
APPLE-AUSTIN,-5
AMAZON-AES,76
ASN-APPNEX,10
Akamai International B.V.,-5
COGENT-174,-1
Criteo SA,36
SmartAdServer SAS,12
Amobee EMEA Limited,11
myLoc managed IT AG,1
AS-OUTBRAIN,10
MEDIAMATH-INC,-11
Conversant LLC,0
Iguane Solutions SAS,4
RHYTHMONE,1
Hetzner Online GmbH,7
BIDTELLECT,-1
Vente-privee.com SA,-8
COGECO-PEER1,4
PULSEPOINT,5
VOXEL-DOT-NET,-4
ROCKETFUEL,-1
NETFLIX-ASN,-1
SOFTLAYER,-1
DOUBLE-VERIFY,-34
OVH SAS,4
DEEPINTENT,0
Rtb House S.A.,0
GOOGLE-CLOUD-PLATFORM,6
STEADFAST,-1
Telia Company AB,0
