ORG,OCCURENCE
GOOGLE,512
Virgin Media Limited,48
,0
MICROSOFT-CORP-MSN-AS-BLOCK,-77
FACEBOOK,16
CLOUDFLARENET,42
AMAZON-02,238
NETFLIX-ASN,-1
Yahoo! UK Services Limited,260
APPLE-ENGINEERING,50
AMAZON-AES,66
EDGECAST,-217
AKAMAI-AS,110
RUBICONPROJECT,7
AS-PUBMATIC,57
Adform A/S,9
TWITTER,0
Taboola.com ltd,6
SUCURI-SEC,10
ASN-APPNEX,24
APPLE-AUSTIN,-4
FASTLY,107
THM,14
EBAY,10
Criteo SA,-72
Amobee EMEA Limited,26
myLoc managed IT AG,12
SmartAdServer SAS,66
RHYTHMONE,13
Hetzner Online GmbH,11
PULSEPOINT,4
VOXEL-DOT-NET,10
LEVEL3,0
Vente-privee.com SA,10
YAHOO-YSM-SC8,1
internet content provider,10
LLNW,0
YAHOO-1,-6
OVH SAS,40
Akamai International B.V.,3
