ORG,OCCURENCE
GOOGLE,318
Virgin Media Limited,21
,0
APPLE-ENGINEERING,61
MICROSOFT-CORP-MSN-AS-BLOCK,-2
FACEBOOK,13
CLOUDFLARENET,22
AMAZON-02,109
AMAZON-AES,66
NETFLIX-ASN,1
EDGECAST,-462
Yahoo! UK Services Limited,-102
AKAMAI-AS,60
RUBICONPROJECT,3
Netic A/S,0
AS-PUBMATIC,9
SUCURI-SEC,4
STACKPATH-CDN,77
ASN-APPNEX,3
"SpotXchange, INC",-5
TWITTER,2
Taboola.com ltd,4
FASTLY,140
THM,0
EBAY,5
Adform A/S,6
Akamai International B.V.,-4
Criteo SA,-90
SmartAdServer SAS,10
Amobee EMEA Limited,12
MEDIAMATH-INC,-10
Hetzner Online GmbH,8
SOFTLAYER,0
DEEPINTENT,1
Conversant LLC,-2
STEADFAST,1
RHYTHMONE,-2
VOXEL-DOT-NET,1
ROCKETFUEL,-2
DIGITALOCEAN-ASN,1
Telia Company AB,0
myLoc managed IT AG,2
COGECO-PEER1,4
BIDTELLECT,0
Vente-privee.com SA,-11
COGENT-174,8
PULSEPOINT,-4
AS-OUTBRAIN,-4
LLNW,-2
LEVEL3,0
OVH SAS,-6
YAHOO-1,-9
Rtb House S.A.,1
Iguane Solutions SAS,8
GOOGLE-CLOUD-PLATFORM,13
LEASEWEB-USA-WDC,5
DOUBLE-VERIFY,4
