ORG,OCCURENCE
GOOGLE,214
Virgin Media Limited,13
,0
MICROSOFT-CORP-MSN-AS-BLOCK,79
FACEBOOK,14
APPLE-ENGINEERING,54
CLOUDFLARENET,-2
AMAZON-02,-18
NETFLIX-ASN,-3
EDGECAST,-649
Yahoo! UK Services Limited,-55
AMAZON-AES,72
AKAMAI-AS,-72
RUBICONPROJECT,0
Adform A/S,-6
"SpotXchange, INC",-2
Netic A/S,-2
AS-PUBMATIC,-6
STACKPATH-CDN,71
ASN-APPNEX,15
TWITTER,0
Taboola.com ltd,5
SUCURI-SEC,2
FASTLY,133
THM,0
EBAY,-5
Akamai International B.V.,-12
Criteo SA,-49
Amobee EMEA Limited,8
MEDIAMATH-INC,-6
SmartAdServer SAS,8
AS-OUTBRAIN,-8
STEADFAST,1
Conversant LLC,-2
DEEPINTENT,0
RHYTHMONE,-3
ROCKETFUEL,-1
Telia Company AB,0
myLoc managed IT AG,4
Hetzner Online GmbH,4
IPROM d.o.o,0
BIDTELLECT,0
Vente-privee.com SA,0
VOXEL-DOT-NET,-2
COGENT-174,5
PULSEPOINT,0
DIGITALOCEAN-ASN,0
internet content provider,3
LEVEL3,-3
SOFTLAYER,-2
DOUBLE-VERIFY,-1
OVH SAS,-6
YAHOO-1,-4
LLNW,-7
Rtb House S.A.,0
GOOGLE-CLOUD-PLATFORM,6
COGECO-PEER1,1
Iguane Solutions SAS,5
