occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1133,803.65,807481.75,760099.4,10.75,2.75,0.9413,0.7093,0.2562,GOOGLE,105.3953
107.5,174.5,19104.75,29075.85,1.75,1.71,1.5219,1.6232,0.9759,Virgin Media Limited,61.4286
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
163.5,133.43,64960.75,55145.14,3.25,1.5,0.8489,0.8161,0.4615,MICROSOFT-CORP-MSN-AS-BLOCK,50.3077
11.5,13.38,3182.25,4831.72,0.5,0.58,1.5183,1.1634,1.1547,FACEBOOK,23.0
99.25,133.05,70781.5,119096.51,2.75,2.22,1.6826,1.3406,0.8063,CLOUDFLARENET,36.0909
10.5,21.0,561,1122.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,21.0
0.5,1.0,38,76.0,0.5,1.0,2.0,2.0,2.0,APPLE-AUSTIN,1.0
408,657.54,474756.75,833007.05,2.25,1.71,1.7546,1.6116,0.759,Yahoo! UK Services Limited,181.3333
49,44.68,23941.75,20931.23,2.75,0.5,0.8743,0.9119,0.1818,APPLE-ENGINEERING,17.8182
474.5,157.71,304295.5,256591.69,17.75,2.75,0.8432,0.3324,0.1551,AMAZON-02,26.7324
503.5,895.26,629569.25,1173369.71,1.75,1.71,1.8638,1.7781,0.9759,EDGECAST,287.7143
203.25,189.17,154166.25,183544.19,3.5,2.38,1.1906,0.9307,0.6801,AKAMAI-AS,58.0714
12,24.0,4411,8822.0,0.5,1.0,2.0,2.0,2.0,TWITTER,24.0
12.5,15.0,3945.25,4669.5,0.5,0.58,1.1836,1.2,1.1547,RUBICONPROJECT,25.0
22.25,29.67,13064.5,18183.61,0.75,0.5,1.3918,1.3334,0.6667,Adform A/S,29.6667
6.5,13.0,2936,5872.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,26.0
73.25,71.34,31060.75,37634.92,2.25,2.06,1.2117,0.9739,0.9162,AS-PUBMATIC,32.5556
58.25,116.5,63896.25,127792.5,0.5,1.0,2.0,2.0,2.0,STACKPATH-CDN,116.5
6.5,13.0,1287,2574.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",26.0
16,32.0,6775,13550.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,32.0
4.25,8.5,1619,3238.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,17.0
41,52.9,17136,26157.67,1.25,1.26,1.5265,1.2903,1.0066,ASN-APPNEX,32.8
194.25,274.26,194545.75,297579.77,1.5,1.29,1.5296,1.4119,0.8607,FASTLY,129.5
40.75,81.5,36344,72688.0,1,2.0,2.0,2.0,2.0,THM,40.75
38.75,77.5,12892,25784.0,2,4.0,2.0,2.0,2.0,EBAY,19.375
34.75,47.86,12721,18848.98,1.25,1.26,1.4817,1.3772,1.0066,Akamai International B.V.,27.8
155,219.18,120483.25,213899.82,3,3.37,1.7753,1.414,1.1222,Criteo SA,51.6667
17.25,34.5,5981,11962.0,0.5,1.0,2.0,2.0,2.0,Amobee EMEA Limited,34.5
16,32.0,11154.75,22309.5,0.25,0.5,2.0,2.0,2.0,AS-OUTBRAIN,64.0
24,48.0,7723,15446.0,0.5,1.0,2.0,2.0,2.0,MEDIAMATH-INC,48.0
0.25,0.5,10,20.0,0.25,0.5,2.0,2.0,2.0,DEEPINTENT,1.0
9.75,11.84,4416.25,6172.51,0.75,0.96,1.3977,1.2146,1.2766,Conversant LLC,13.0
21.5,43.0,8700.75,17401.5,0.5,1.0,2.0,2.0,2.0,RHYTHMONE,43.0
29.25,20.56,14859,10193.45,1.25,0.5,0.686,0.7031,0.4,VOXEL-DOT-NET,23.4
5.25,9.22,2277.5,4501.82,0.5,0.58,1.9767,1.7552,1.1547,ROCKETFUEL,10.5
3.25,6.5,2025.25,4050.5,0.25,0.5,2.0,2.0,2.0,Telia Company AB,13.0
5.75,11.5,2385,4770.0,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,23.0
7.75,10.01,4568.75,6166.94,0.5,0.58,1.3498,1.2919,1.1547,Hetzner Online GmbH,15.5
2.5,5.0,1343.75,2687.5,0.25,0.5,2.0,2.0,2.0,IPROM d.o.o,10.0
3.5,7.0,2209,4418.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,14.0
28.75,57.5,13647.5,27295.0,0.5,1.0,2.0,2.0,2.0,Vente-privee.com SA,57.5
2,4.0,1040.25,2080.5,0.25,0.5,2.0,2.0,2.0,COGECO-PEER1,8.0
