occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1104,908.52,792600.75,736056.56,10.75,5.06,0.9287,0.8229,0.4705,GOOGLE,102.6977
124.25,216.45,28504,47993.05,1.5,2.38,1.6837,1.7421,1.587,Virgin Media Limited,82.8333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
134.25,177.4,62990,82851.67,4.25,3.59,1.3153,1.3214,0.8456,MICROSOFT-CORP-MSN-AS-BLOCK,31.5882
11.5,13.28,3162,4774.54,0.5,0.58,1.51,1.1547,1.1547,FACEBOOK,23.0
45,38.36,19394.25,14409.95,3.5,2.38,0.743,0.8524,0.6801,APPLE-ENGINEERING,12.8571
115.25,97.52,82699,110223.52,3.25,1.5,1.3328,0.8462,0.4615,CLOUDFLARENET,35.4615
579.75,216.48,353802.5,127005.87,20.25,7.5,0.359,0.3734,0.3704,AMAZON-02,28.6296
12.5,25.0,683,1366.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,50.0
805.25,1541.35,1082657.25,2125024.04,2.5,1.91,1.9628,1.9141,0.7659,EDGECAST,322.1
336,557.52,392939.25,718050.22,2.25,1.71,1.8274,1.6593,0.759,Yahoo! UK Services Limited,149.3333
26,18.18,11809.5,8368.7,2.5,1.29,0.7086,0.6994,0.5164,AMAZON-AES,10.4
245.25,110.36,190364,141743.03,3.75,1.71,0.7446,0.45,0.4554,AKAMAI-AS,65.4
13,15.21,3124,3634.23,0.5,0.58,1.1633,1.17,1.1547,RUBICONPROJECT,26.0
28,37.39,15588,21165.48,1,1.15,1.3578,1.3354,1.1547,Adform A/S,28.0
3.5,7.0,1131,2262.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",14.0
6,12.0,2910,5820.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,24.0
74.25,75.25,31486.25,33411.93,1.75,0.96,1.0612,1.0135,0.5471,AS-PUBMATIC,42.4286
8.25,16.5,4370.5,8741.0,0.25,0.5,2.0,2.0,2.0,STACKPATH-CDN,33.0
31.5,37.47,16455,21459.87,1,1.41,1.3042,1.1894,1.4142,ASN-APPNEX,31.5
14.75,29.5,4586,9172.0,0.5,1.0,2.0,2.0,2.0,TWITTER,29.5
3.75,7.5,1452.5,2905.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,15.0
14.75,29.5,5554,11108.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,29.5
199.25,304.08,201356.5,319115.06,1.75,2.36,1.5848,1.5261,1.3502,FASTLY,113.8571
41,82.0,36412.75,72825.5,1,2.0,2.0,2.0,2.0,THM,41.0
45.25,82.06,12218,23065.66,2.75,4.86,1.8878,1.8135,1.7659,EBAY,16.4545
16,18.92,5758,6674.28,0.75,0.96,1.1591,1.1826,1.2766,Akamai International B.V.,21.3333
147.25,154.05,105836.5,132913.65,2.75,2.06,1.2558,1.0462,0.7497,Criteo SA,53.5455
19.25,34.62,8242,16258.79,0.5,0.58,1.9727,1.7982,1.1547,Amobee EMEA Limited,38.5
21.25,30.17,7179.75,10642.29,0.5,0.58,1.4823,1.4198,1.1547,MEDIAMATH-INC,42.5
81.75,158.21,39937.25,75893.48,1,1.41,1.9003,1.9353,1.4142,SmartAdServer SAS,81.75
21,42.0,13981.25,27962.5,0.5,1.0,2.0,2.0,2.0,AS-OUTBRAIN,42.0
1,2.0,43,86.0,0.25,0.5,2.0,2.0,2.0,STEADFAST,4.0
12.25,9.46,5946.5,5346.76,0.75,0.5,0.8991,0.7726,0.6667,Conversant LLC,16.3333
3.75,7.5,1121,2242.0,0.25,0.5,2.0,2.0,2.0,DEEPINTENT,15.0
20,38.03,8087.5,16064.52,0.5,0.58,1.9863,1.9013,1.1547,RHYTHMONE,40.0
4,8.0,2022.25,4044.5,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,16.0
3.25,6.5,2025,4050.0,0.25,0.5,2.0,2.0,2.0,Telia Company AB,13.0
10.5,21.0,3788.5,7577.0,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,42.0
11.25,13.3,4531.5,5726.96,1,1.41,1.2638,1.1823,1.4142,Hetzner Online GmbH,11.25
2.5,5.0,1343.25,2686.5,0.25,0.5,2.0,2.0,2.0,IPROM d.o.o,10.0
5.25,10.5,2300,4600.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,21.0
