occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
167,203.89,44363.5,48358.57,4.5,3.0,1.0901,1.2209,0.6667,GOOGLE,37.1111
56,76.4,8233,11891.98,1.25,1.26,1.4444,1.3643,1.0066,Virgin Media Limited,44.8
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
55.5,53.84,29020.25,28009.87,2.25,0.96,0.9652,0.9701,0.4255,APPLE-ENGINEERING,24.6667
156.25,142.5,64482.75,59179.05,3,2.0,0.9178,0.912,0.6667,MICROSOFT-CORP-MSN-AS-BLOCK,52.0833
50.25,71.94,14569.25,23839.8,1,0.82,1.6363,1.4316,0.8165,FACEBOOK,50.25
84.75,103.76,69330.75,114384.52,2,1.41,1.6498,1.2243,0.7071,CLOUDFLARENET,42.375
130.25,63.8,46187,29169.33,7.25,2.22,0.6315,0.4899,0.3058,AMAZON-02,17.9655
517,961.42,698009.5,1328107.06,1.25,1.5,1.9027,1.8596,1.2,EDGECAST,413.6
404.5,702.69,502824.75,916176.32,1.5,1.29,1.8221,1.7372,0.8607,Yahoo! UK Services Limited,269.6667
10.25,20.5,2250.25,4500.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,20.5
38.25,76.5,34655.75,69311.5,1,2.0,2.0,2.0,2.0,THM,38.25
49.25,98.5,17929.75,35859.5,1.5,3.0,2.0,2.0,2.0,EBAY,32.8333
58.5,111.08,62158,123922.31,1,1.41,1.9937,1.8988,1.4142,FASTLY,58.5
106.5,213.0,137899.25,275798.5,0.5,1.0,2.0,2.0,2.0,AKAMAI-AS,213.0
6,12.0,1427.5,2855.0,0.5,1.0,2.0,2.0,2.0,LEVEL3,12.0
5.5,11.0,1853,3706.0,0.5,1.0,2.0,2.0,2.0,YAHOO-DNB,11.0
11.5,23.0,610,1220.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,46.0
4.75,9.5,1790,3580.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,19.0
3.75,7.5,1723.25,3446.5,0.25,0.5,2.0,2.0,2.0,Internet content provider,15.0
4.25,8.5,1756.5,3513.0,0.25,0.5,2.0,2.0,2.0,YAHOO-GQ1,17.0
8.25,16.5,2306.75,4613.5,0.25,0.5,2.0,2.0,2.0,LLNW,33.0
14.75,29.5,6773.25,13546.5,0.5,1.0,2.0,2.0,2.0,YAHOO-1,29.5
7.25,14.5,3240.5,6481.0,0.25,0.5,2.0,2.0,2.0,Internet Content Provider,29.0
