ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
GOOGLE,35.186.224.25,United States,Kansas City,230,39.1027,-94.5778
APPLE-ENGINEERING,17.252.62.6,United Kingdom,Manchester,5,53.5058,-2.2209
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,73,51.6795,0.018
FACEBOOK,157.240.225.5,United Kingdom,Manchester,135,53.5058,-2.2209
GOOGLE,104.199.65.124,Belgium,Brussels,8,50.8336,4.3337
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.208.34,United Kingdom,London,27,51.5095,-0.0955
EDGECAST,93.184.220.29,United Kingdom,London,105,51.5095,-0.0955
FACEBOOK,157.240.225.60,United Kingdom,Manchester,47,53.5058,-2.2209
AMAZON-02,52.84.136.7,United Kingdom,Manchester,22,53.4809,-2.2374
CLOUDFLARENET,104.18.20.226,Canada,Toronto,21,43.6752,-79.3472
FASTLY,199.232.57.194,United Kingdom,Windsor,14,54.5673,-5.944
AMAZON-02,54.171.177.209,Ireland,Dublin,21,53.3382,-6.2591
GOOGLE,34.120.5.221,United States,Kansas City,10,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,40.100.174.226,United Kingdom,London,38,51.5095,-0.0955
CLOUDFLARENET,172.67.21.133,United States,New York,123,40.7365,-74.0055
MICROSOFT-CORP-MSN-AS-BLOCK,52.98.145.66,United Kingdom,London,37,51.5095,-0.0955
GOOGLE,35.186.224.47,United States,Kansas City,26,39.1027,-94.5778
GOOGLE,35.186.224.40,United States,Kansas City,25,39.1027,-94.5778
GOOGLE,34.120.237.76,United States,Kansas City,5,39.1027,-94.5778
GOOGLE,34.120.115.102,United States,Kansas City,4,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,65.55.44.109,United States,Boydton,153,36.6534,-78.375
AMAZON-02,13.33.52.35,United Kingdom,Manchester,2,53.4809,-2.2374
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.219.194,United Kingdom,London,8,51.5095,-0.0955
MICROSOFT-CORP-MSN-AS-BLOCK,40.100.174.194,United Kingdom,London,283,51.5095,-0.0955
AMAZON-02,13.33.52.22,United Kingdom,Manchester,5,53.4809,-2.2374
AMAZON-02,52.84.140.113,United Kingdom,Manchester,2,53.4809,-2.2374
GOOGLE,35.186.224.18,United States,Kansas City,44,39.1027,-94.5778
GOOGLE,142.250.187.206,Bulgaria,Sofia,21,42.697708,23.321868
APPLE-ENGINEERING,17.248.180.111,United Kingdom,Manchester,1,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.173,United Kingdom,Manchester,14,53.5058,-2.2209
FACEBOOK,157.240.225.20,United Kingdom,Manchester,4,53.5058,-2.2209
AMAZON-02,13.33.50.225,United Kingdom,Manchester,6,53.4809,-2.2374
CLOUDFLARENET,104.22.67.219,United States,San Francisco,5,37.7809,-122.4245
AMAZON-02,52.209.74.188,Ireland,Dublin,8,53.3382,-6.2591
Yahoo! UK Services Limited,87.248.114.11,United Kingdom,London,815,51.5095,-0.0955
Yahoo! UK Services Limited,87.248.100.215,Ireland,Dublin,86,53.3382,-6.2591
EDGECAST,152.199.20.14,France,Paris,96,48.8323,2.4075
EDGECAST,152.195.132.116,United States,New York,1503,40.7488,-73.9883
EDGECAST,152.199.16.2,France,Paris,22,48.8323,2.4075
Yahoo! UK Services Limited,87.248.114.81,United Kingdom,London,18,51.5095,-0.0955
internet content provider,119.161.16.76,Taiwan,Taoyuan City,29,24.9977,121.2965
AMAZON-02,52.19.122.173,Ireland,Dublin,5,53.406105,-6.229773
APPLE-ENGINEERING,17.248.180.134,United Kingdom,Manchester,27,53.5058,-2.2209
Yahoo! UK Services Limited,188.125.72.139,Ireland,Dublin,7,53.3382,-6.2591
YAHOO-GQ1,67.195.160.105,United States,Quincy,10,47.1988,-119.8426
internet content provider,119.161.4.77,Japan,Tokyo,26,35.6893,139.6899
FASTLY,199.232.57.111,United Kingdom,Windsor,14,54.5673,-5.944
Yahoo! UK Services Limited,87.248.116.89,Netherlands,Amsterdam,7,52.3759,4.8975
YAHOO-SWB,69.147.80.123,United States,Seattle,5,47.6034,-122.3414
Virgin Media Limited,62.252.188.251,United Kingdom,Sunbury-on-Thames,10,51.4009,-0.4143
GOOGLE,172.217.16.227,Poland,Warsaw,18,52.2484,21.0026
YAHOO,69.147.87.122,United States,Fort Belvoir,5,38.6942,-77.1397
YAHOO-SP1,209.73.179.139,United States,Atlanta,7,33.844,-84.4784
FASTLY,151.101.194.217,Canada,Montreal,9,45.4724,-73.6141
AMAZON-02,13.224.81.82,United Kingdom,Manchester,4,53.4809,-2.2374
AMAZON-02,13.33.52.116,United Kingdom,Manchester,6,53.4809,-2.2374
AMAZON-02,13.33.52.40,United Kingdom,Manchester,4,53.4809,-2.2374
CLOUDFLARENET,104.16.148.64,Canada,Toronto,8,43.6752,-79.3472
AMAZON-02,52.84.140.107,United Kingdom,Manchester,6,53.4809,-2.2374
APPLE-ENGINEERING,17.248.180.40,United Kingdom,Manchester,16,53.5058,-2.2209
AMAZON-02,3.251.50.149,Ireland,Dublin,37,53.406105,-6.229773
GOOGLE,142.250.187.202,Bulgaria,Sofia,12,42.697708,23.321868
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.211.178,United Kingdom,London,33,51.5095,-0.0955
FACEBOOK,157.240.225.35,United Kingdom,Manchester,13,53.5058,-2.2209
GOOGLE,34.120.195.249,United States,Kansas City,2,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.146.146,United Kingdom,London,278,51.5095,-0.0955
APPLE-ENGINEERING,17.248.180.74,United Kingdom,Manchester,14,53.5058,-2.2209
NETFLIX-ASN,45.57.91.1,France,Paris,48,48.8607,2.3281
AMAZON-02,13.33.50.111,United Kingdom,Manchester,6,53.4809,-2.2374
EBAY,209.140.129.51,United Kingdom,Slough,15,51.4989,-0.5806
THM,185.32.241.65,Netherlands,Amsterdam,98,52.3759,4.8975
EBAY,216.113.179.36,United States,San Jose,11,37.3313,-121.8401
EBAY,209.140.129.68,United Kingdom,Slough,13,51.5368,-0.6718
AKAMAI-AS,195.95.193.244,United Kingdom,London,343,51.5095,-0.0955
THM,91.235.132.129,Netherlands,Amsterdam,9,52.352,4.9392
EBAY,209.140.144.108,United States,San Jose,136,37.3313,-121.8401
FASTLY,199.232.58.206,United Kingdom,London,77,51.5016,-0.0149
EBAY,209.140.139.215,United Kingdom,Slough,10,51.4989,-0.5806
APPLE-ENGINEERING,17.248.180.204,United Kingdom,Manchester,14,53.5058,-2.2209
EBAY,209.140.129.83,United Kingdom,Slough,6,51.5368,-0.6718
AMAZON-02,13.33.50.40,United Kingdom,Manchester,15,53.4809,-2.2374
APPLE-ENGINEERING,17.248.180.107,United Kingdom,Manchester,12,53.5058,-2.2209
