occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
101.25,125.64,11096.25,13188.06,3,1.15,1.1885,1.2409,0.3849,GOOGLE,33.75
20.75,35.15,2521.75,4703.23,0.5,0.58,1.8651,1.694,1.1547,Virgin Media Limited,41.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
214.25,228.25,87707,96190.7,2,1.63,1.0967,1.0653,0.8165,MICROSOFT-CORP-MSN-AS-BLOCK,107.125
49.75,63.09,13874.5,20342.62,1,0.82,1.4662,1.2681,0.8165,FACEBOOK,49.75
39.25,56.26,39344.25,77524.72,1,0.0,1.9704,1.4335,0.0,CLOUDFLARENET,39.25
37.25,25.0,4599.5,6306.23,3.75,3.2,1.3711,0.6711,0.8537,AMAZON-02,9.9333
12,24.0,639,1278.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,48.0
233.25,461.85,304379.25,608463.87,1.25,1.89,1.999,1.98,1.5144,Yahoo! UK Services Limited,186.6
25.75,18.7,12963.5,9314.52,2,1.41,0.7185,0.7261,0.7071,APPLE-ENGINEERING,12.875
431.5,716.28,576719,1081754.68,1,0.82,1.8757,1.66,0.8165,EDGECAST,431.5
26.75,53.5,26418.25,52836.5,0.5,1.0,2.0,2.0,2.0,THM,53.5
47.75,95.5,15624.75,31249.5,1.5,3.0,2.0,2.0,2.0,EBAY,31.8333
28.5,42.07,26527.75,52093.39,1,0.82,1.9637,1.476,0.8165,FASTLY,28.5
85.75,171.5,113469.5,226939.0,0.25,0.5,2.0,2.0,2.0,AKAMAI-AS,343.0
1.75,3.5,110.5,221.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SP1,7.0
1.25,2.5,84.5,169.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,5.0
2.5,5.0,367,734.0,0.25,0.5,2.0,2.0,2.0,YAHOO-GQ1,10.0
13.75,27.5,6699.5,13399.0,0.5,1.0,2.0,2.0,2.0,internet content provider,27.5
1.25,2.5,84.5,169.0,0.25,0.5,2.0,2.0,2.0,YAHOO,5.0
