occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
832.75,1232.9,544430.5,865656.75,11.75,9.54,1.59,1.4805,0.8115,GOOGLE,70.8723
120,174.17,27128.75,26744.04,1.75,1.5,0.9858,1.4514,0.8571,Virgin Media Limited,68.5714
92.5,111.94,23737.75,19200.48,4.75,2.99,0.8089,1.2101,0.6286,APPLE-ENGINEERING,19.4737
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
191.75,207.22,97558,102357.12,4.25,3.86,1.0492,1.0807,0.9088,MICROSOFT-CORP-MSN-AS-BLOCK,45.1176
5,10.0,600,1200.0,0.25,0.5,2.0,2.0,2.0,FACEBOOK,20.0
195.75,155.12,199273.75,213931.41,3,1.63,1.0736,0.7925,0.5443,CLOUDFLARENET,65.25
346.75,119.32,180502.25,97086.34,16.25,6.65,0.5379,0.3441,0.4094,AMAZON-02,21.3385
665.5,1158.2,903199.25,1756937.43,2.25,1.5,1.9452,1.7403,0.6667,EDGECAST,295.7778
309.75,523.1,356460.25,672872.44,2,2.45,1.8877,1.6888,1.2247,Yahoo! UK Services Limited,154.875
0.25,0.5,19,38.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,1.0
274.5,380.92,157147.25,224066.61,3.25,2.5,1.4258,1.3877,0.7692,AKAMAI-AS,84.4615
58.75,67.84,27702,33773.24,0.75,0.96,1.2192,1.1547,1.2766,RUBICONPROJECT,78.3333
1.75,3.5,91,182.0,0.25,0.5,2.0,2.0,2.0,"SpotXchange, INC",7.0
3,6.0,1380.25,2760.5,0.25,0.5,2.0,2.0,2.0,Netic A/S,12.0
64.75,111.62,20863.25,38429.18,0.75,0.96,1.842,1.7238,1.2766,ASN-APPNEX,86.3333
100.5,201.0,38057.5,76115.0,1.5,3.0,2.0,2.0,2.0,AS-PUBMATIC,67.0
3.5,7.0,1313.5,2627.0,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,14.0
18,36.0,7235,14470.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,36.0
7.75,10.84,4236.75,5526.87,0.5,0.58,1.3045,1.3992,1.1547,Adform A/S,15.5
53.25,51.65,41130,67878.72,1.25,0.5,1.6503,0.9699,0.4,FASTLY,42.6
35.25,70.5,31591.25,63182.5,1,2.0,2.0,2.0,2.0,THM,35.25
24.75,49.5,3637.5,7275.0,2.25,4.5,2.0,2.0,2.0,EBAY,11.0
39.25,31.06,20524.5,14752.68,3.75,3.3,0.7188,0.7914,0.8811,AMAZON-AES,10.4667
325.25,544.62,436981,822569.1,1.75,1.5,1.8824,1.6745,0.8571,OVH SAS,185.8571
147.5,186.48,84455.5,119392.64,2.75,3.2,1.4137,1.2643,1.1642,Criteo SA,53.6364
2,4.0,1023.25,2046.5,0.25,0.5,2.0,2.0,2.0,myLoc managed IT AG,8.0
11.75,23.5,5807,11614.0,0.25,0.5,2.0,2.0,2.0,MEDIAMATH-INC,47.0
63.5,53.9,28812.75,28762.06,1.5,1.0,0.9982,0.8489,0.6667,SmartAdServer SAS,42.3333
40.25,55.66,15031.25,26775.65,0.75,0.96,1.7813,1.3828,1.2766,LeaseWeb Netherlands B.V.,53.6667
9.5,17.06,3939.5,7749.55,0.5,0.58,1.9671,1.7957,1.1547,STEADFAST,19.0
8.5,17.0,3837.75,7675.5,0.75,1.5,2.0,2.0,2.0,Conversant LLC,11.3333
4,8.0,1345.25,2690.5,0.25,0.5,2.0,2.0,2.0,"Alibaba US Technology Co., Ltd.",16.0
3.5,7.0,1483.75,2967.5,0.25,0.5,2.0,2.0,2.0,PACKET,14.0
5.25,10.5,2452.25,4904.5,0.25,0.5,2.0,2.0,2.0,SOFTLAYER,21.0
4,8.0,1504.75,3009.5,0.25,0.5,2.0,2.0,2.0,ORACLE-BMC-31898,16.0
20.25,40.5,9161.75,18323.5,0.25,0.5,2.0,2.0,2.0,RHYTHMONE,81.0
35.5,32.68,20494.75,19746.07,1,0.82,0.9635,0.9204,0.8165,VOXEL-DOT-NET,35.5
11.5,23.0,4667.25,9334.5,0.25,0.5,2.0,2.0,2.0,PULSEPOINT,46.0
5,10.0,2685.5,5371.0,0.25,0.5,2.0,2.0,2.0,IPROM d.o.o,20.0
15.5,31.0,4994,9988.0,0.25,0.5,2.0,2.0,2.0,Amobee EMEA Limited,62.0
2.5,5.0,130,260.0,0.25,0.5,2.0,2.0,2.0,BIDTELLECT,10.0
13.25,15.56,7279,8576.22,0.5,0.58,1.1782,1.1747,1.1547,Vente-privee.com SA,26.5
6.5,7.68,3952.25,4567.82,0.5,0.58,1.1558,1.1817,1.1547,COGENT-174,13.0
3.5,7.0,1918,3836.0,0.25,0.5,2.0,2.0,2.0,DIGITALOCEAN-ASN,14.0
4.25,8.5,2688.5,5377.0,0.25,0.5,2.0,2.0,2.0,ROCKETFUEL,17.0
10,12.25,4536,5628.57,0.75,0.96,1.2409,1.2247,1.2766,Hetzner Online GmbH,13.3333
2.5,5.0,130,260.0,0.25,0.5,2.0,2.0,2.0,LEVEL3,10.0
3.5,7.0,1779.5,3559.0,0.25,0.5,2.0,2.0,2.0,internet content provider,14.0
11.25,22.5,615,1230.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,45.0
3.75,7.5,1723.25,3446.5,0.25,0.5,2.0,2.0,2.0,Internet content provider,15.0
8.5,10.97,3793.75,4443.28,0.75,0.96,1.1712,1.2905,1.2766,YAHOO-1,11.3333
4,8.0,1743.5,3487.0,0.25,0.5,2.0,2.0,2.0,Yahoo China Datacenter,16.0
1.5,3.0,87.75,175.5,0.25,0.5,2.0,2.0,2.0,YAHOO-GQ1,6.0
3,6.0,1710.5,3421.0,0.25,0.5,2.0,2.0,2.0,Telia Company AB,12.0
