ORG,OCCURENCE
GOOGLE,486
Virgin Media Limited,17
APPLE-ENGINEERING,6
,0
MICROSOFT-CORP-MSN-AS-BLOCK,22
FACEBOOK,20
CLOUDFLARENET,-82
AMAZON-02,214
EDGECAST,-510
Yahoo! UK Services Limited,-29
APPLE-AUSTIN,0
AKAMAI-AS,-101
RUBICONPROJECT,-46
"SpotXchange, INC",-1
Netic A/S,0
ASN-APPNEX,-18
AS-PUBMATIC,-33
Taboola.com ltd,5
SUCURI-SEC,-1
Adform A/S,14
FASTLY,279
THM,6
EBAY,15
AMAZON-AES,59
OVH SAS,-272
Criteo SA,-49
myLoc managed IT AG,13
MEDIAMATH-INC,3
SmartAdServer SAS,26
STEADFAST,-8
Conversant LLC,2
SOFTLAYER,-1
RHYTHMONE,-3
VOXEL-DOT-NET,-14
PULSEPOINT,-3
IPROM d.o.o,-2
Amobee EMEA Limited,12
BIDTELLECT,3
Vente-privee.com SA,0
COGENT-174,3
DIGITALOCEAN-ASN,0
ROCKETFUEL,-2
Hetzner Online GmbH,6
LEVEL3,0
internet content provider,11
NETFLIX-ASN,-2
YAHOO-1,-7
Telia Company AB,0
DEEPINTENT,-7
LLNW,-1
Rtb House S.A.,0
COGECO-PEER1,-10
Iguane Solutions SAS,6
AS-OUTBRAIN,8
GOOGLE-CLOUD-PLATFORM,4
