occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
643.25,356.47,335265.75,263109.62,10.25,4.99,0.7848,0.5542,0.487,GOOGLE,62.7561
48.5,26.65,14267.25,13807.03,3,0.82,0.9677,0.5495,0.2722,APPLE-ENGINEERING,16.1667
113.75,155.5,18384.75,23655.77,1.25,0.5,1.2867,1.3671,0.4,Virgin Media Limited,91.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
222,359.95,92267,145389.33,3.25,1.71,1.5757,1.6214,0.5255,MICROSOFT-CORP-MSN-AS-BLOCK,68.3077
50.5,71.18,14000.25,23058.96,0.75,0.96,1.647,1.4096,1.2766,FACEBOOK,67.3333
164,163.86,150642,170507.93,3.5,3.32,1.1319,0.9991,0.9476,CLOUDFLARENET,46.8571
9.5,19.0,521,1042.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,38.0
0.5,1.0,38,76.0,0.5,1.0,2.0,2.0,2.0,APPLE-AUSTIN,1.0
350,557.88,410130,720033.88,1.25,1.5,1.7556,1.5939,1.2,Yahoo! UK Services Limited,280.0
237.75,262.48,140216,162093.09,5.25,4.35,1.156,1.104,0.8284,AKAMAI-AS,45.2857
702.75,1273.77,970640.25,1911435.92,1.75,2.06,1.9693,1.8125,1.178,EDGECAST,401.5714
469,211.59,224037.5,94982.81,19.5,10.97,0.424,0.4512,0.5625,AMAZON-02,24.0513
59.75,84.85,28566.25,48000.54,0.75,0.96,1.6803,1.4202,1.2766,RUBICONPROJECT,79.6667
3.5,7.0,1406.5,2813.0,0.25,0.5,2.0,2.0,2.0,Netic A/S,14.0
115.25,116.96,41690,38258.13,1.75,1.71,0.9177,1.0148,0.9759,AS-PUBMATIC,65.8571
22.25,44.5,9180,18360.0,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,44.5
2.75,5.5,1272.25,2544.5,0.25,0.5,2.0,2.0,2.0,Taboola.com ltd,11.0
62,69.31,43890,73344.82,1.25,0.5,1.6711,1.1179,0.4,FASTLY,49.6
41,82.0,36590.75,73181.5,1,2.0,2.0,2.0,2.0,THM,41.0
29,58.0,4772.75,9545.5,2.5,5.0,2.0,2.0,2.0,EBAY,11.6
7.5,15.0,4165.5,8331.0,0.25,0.5,2.0,2.0,2.0,Adform A/S,30.0
70.75,83.08,25890.75,31531.72,1,1.41,1.2179,1.1743,1.4142,ASN-APPNEX,70.75
16.75,20.06,8152.75,9456.23,0.75,0.96,1.1599,1.1974,1.2766,COGENT-174,22.3333
148.5,155.48,85644,107805.41,2.75,2.63,1.2588,1.047,0.9563,Criteo SA,54.0
