ORG,OCCURENCE
GOOGLE,675
APPLE-ENGINEERING,50
Virgin Media Limited,23
,0
MICROSOFT-CORP-MSN-AS-BLOCK,-8
FACEBOOK,-25
CLOUDFLARENET,-51
NETFLIX-ASN,0
APPLE-AUSTIN,0
Yahoo! UK Services Limited,-69
AKAMAI-AS,-64
EDGECAST,-547
AMAZON-02,92
RUBICONPROJECT,-47
Netic A/S,0
AS-PUBMATIC,-48
SUCURI-SEC,-5
Taboola.com ltd,6
FASTLY,270
THM,0
EBAY,11
Adform A/S,14
ASN-APPNEX,-24
COGENT-174,-7
Criteo SA,-50
AS-OUTBRAIN,-22
SmartAdServer SAS,10
Conversant LLC,2
STEADFAST,-7
Iguane Solutions SAS,9
RHYTHMONE,-10
VOXEL-DOT-NET,-10
OVH SAS,4
DIGITALOCEAN-ASN,0
MEDIAMATH-INC,0
myLoc managed IT AG,9
Hetzner Online GmbH,2
PULSEPOINT,-2
IPROM d.o.o,0
Amobee EMEA Limited,20
BIDTELLECT,0
Vente-privee.com SA,6
ROCKETFUEL,-3
LLNW,-1
LEVEL3,0
SOFTLAYER,-2
AMAZON-AES,52
DEEPINTENT,-12
YAHOO-YSM-SC8,0
Rtb House S.A.,0
YAHOO-1,0
COGECO-PEER1,-8
GOOGLE-CLOUD-PLATFORM,4
Telia Company AB,0
