ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
APPLE-ENGINEERING,17.248.180.114,United Kingdom,Manchester,20,53.5058,-2.2209
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,74,51.6795,0.018
GOOGLE,66.102.1.188,United States,Mountain View,9,37.3859,-122.0882
GOOGLE,34.117.237.239,United States,Kansas City,5,39.1027,-94.5778
FASTLY,199.232.57.111,United Kingdom,Windsor,38,54.5673,-5.944
APPLE-AUSTIN,17.253.35.210,United Kingdom,Slough,4,51.4991,-0.5545
APPLE-ENGINEERING,17.252.62.5,United Kingdom,Manchester,20,53.5058,-2.2209
CLOUDFLARENET,104.18.21.226,Canada,Toronto,10,43.7593,-79.5224
GOOGLE,35.186.224.25,United States,Kansas City,410,39.1027,-94.5778
EDGECAST,93.184.220.29,United Kingdom,London,64,51.5095,-0.0955
APPLE-AUSTIN,17.253.77.204,United Kingdom,Manchester,3,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.115,United Kingdom,Manchester,20,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.83,United Kingdom,Manchester,2,53.5058,-2.2209
APPLE-ENGINEERING,17.252.62.7,United Kingdom,Manchester,9,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.18,United Kingdom,Manchester,15,53.5058,-2.2209
APPLE-ENGINEERING,17.252.62.8,United Kingdom,Manchester,20,53.5058,-2.2209
FACEBOOK,157.240.225.60,United Kingdom,Manchester,29,53.5058,-2.2209
GOOGLE,104.199.65.124,Belgium,Brussels,8,50.8336,4.3337
AMAZON-AES,54.208.252.112,United States,Ashburn,3,39.0469,-77.4903
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.133.226,United Kingdom,London,23,51.5095,-0.0955
GOOGLE,35.186.224.47,United States,Kansas City,48,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,52.112.120.2,Sweden,Gävle,11,60.6728,17.1611
