occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
129,222.68,21126.75,40201.88,2.25,0.96,1.9029,1.7262,0.4255,GOOGLE,57.3333
19,36.68,2873,5668.93,0.5,0.58,1.9732,1.9305,1.1547,Virgin Media Limited,38.0
83.75,93.94,29239.75,29110.21,4.75,3.1,0.9956,1.1217,0.6517,APPLE-ENGINEERING,17.6316
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
178.25,198.84,83996.5,90214.18,3,2.16,1.074,1.1155,0.7201,MICROSOFT-CORP-MSN-AS-BLOCK,59.4167
7.25,14.5,814.75,1629.5,0.25,0.5,2.0,2.0,2.0,FACEBOOK,29.0
15.5,22.72,2695.25,5020.53,1.25,1.26,1.8627,1.466,1.0066,CLOUDFLARENET,12.4
46.75,42.6,12327.75,15208.46,2.5,2.65,1.2337,0.9113,1.0583,AMAZON-02,18.7
10.75,21.5,577,1154.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,43.0
5.75,7.59,2159.75,4080.44,0.75,0.96,1.8893,1.3197,1.2766,APPLE-AUSTIN,7.6667
4,4.9,259,310.89,0.75,0.96,1.2003,1.2247,1.2766,Yahoo! UK Services Limited,5.3333
317.5,546.64,443451,816972.95,1,0.82,1.8423,1.7217,0.8165,EDGECAST,317.5
0.75,1.5,30,60.0,0.25,0.5,2.0,2.0,2.0,AMAZON-AES,3.0
46,92.0,14864.5,29729.0,1.75,3.5,2.0,2.0,2.0,EBAY,26.2857
91.5,169.29,113581.75,222087.51,0.75,0.96,1.9553,1.8502,1.2766,AKAMAI-AS,122.0
9.5,19.0,4627,9254.0,0.25,0.5,2.0,2.0,2.0,FASTLY,38.0
