occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
194.25,280.67,65307.25,74870.13,4.5,2.65,1.1464,1.4449,0.5879,GOOGLE,43.1667
58.5,60.42,8342,7924.56,1.5,0.58,0.95,1.0329,0.3849,Virgin Media Limited,39.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
39.5,53.82,18075,23769.9,2.75,3.4,1.3151,1.3626,1.2376,APPLE-ENGINEERING,14.3636
174,85.27,76723.25,39752.79,3.5,1.73,0.5181,0.4901,0.4949,MICROSOFT-CORP-MSN-AS-BLOCK,49.7143
5,10.0,619,1238.0,0.25,0.5,2.0,2.0,2.0,FACEBOOK,20.0
80.75,97.32,73300.25,133102.84,1.75,1.71,1.8159,1.2051,0.9759,CLOUDFLARENET,46.1429
12,24.0,639,1278.0,0.5,1.0,2.0,2.0,2.0,NETFLIX-ASN,24.0
386.75,671.17,476334.25,921342.89,1,0.82,1.9342,1.7354,0.8165,Yahoo! UK Services Limited,386.75
517,923.52,702313,1332011.96,1.25,1.5,1.8966,1.7863,1.2,EDGECAST,413.6
0.25,0.5,19,38.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,1.0
9.75,19.5,1080.75,2161.5,0.5,1.0,2.0,2.0,2.0,SUCURI-SEC,19.5
108.5,58.08,54621.75,35180.4,5.75,3.2,0.6441,0.5353,0.5568,AMAZON-02,18.8696
38.75,77.5,34876,69752.0,1,2.0,2.0,2.0,2.0,THM,38.75
61.75,123.5,21647,43294.0,2,4.0,2.0,2.0,2.0,EBAY,30.875
11.75,17.75,4769.5,9151.51,0.75,0.5,1.9188,1.5103,0.6667,FASTLY,15.6667
91.5,183.0,117760.25,235520.5,0.5,1.0,2.0,2.0,2.0,AKAMAI-AS,183.0
5.25,9.84,1388.5,2716.67,0.5,0.58,1.9566,1.8752,1.1547,LEVEL3,10.5
6.25,12.5,2197,4394.0,0.25,0.5,2.0,2.0,2.0,LLNW,25.0
4,8.0,1745.5,3491.0,0.25,0.5,2.0,2.0,2.0,YAHOO-CHA,16.0
2.5,5.0,1450.5,2901.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,10.0
18.75,28.39,8514.75,12831.25,0.75,0.96,1.5069,1.5144,1.2766,YAHOO-1,25.0
8.75,17.5,2397,4794.0,0.5,1.0,2.0,2.0,2.0,Internet content provider,17.5
6,12.0,2088.5,4177.0,0.5,1.0,2.0,2.0,2.0,YAHOO,12.0
1.25,2.5,84.5,169.0,0.25,0.5,2.0,2.0,2.0,YAHOO-YSM-SC8,5.0
5.5,11.0,1973.5,3947.0,0.25,0.5,2.0,2.0,2.0,internet content provider,22.0
0.5,1.0,26,52.0,0.25,0.5,2.0,2.0,2.0,AMAZON-AES,2.0
