occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
144,194.19,56238,85479.19,3.5,3.7,1.52,1.3485,1.0562,GOOGLE,41.1429
47.75,71.37,8105,14934.24,1.75,1.71,1.8426,1.4946,0.9759,Virgin Media Limited,27.2857
175,268.19,155416.5,277601.59,5,5.42,1.7862,1.5325,1.0832,APPLE-ENGINEERING,35.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
136.5,191.4,60311.5,88192.89,2.25,1.71,1.4623,1.4022,0.759,MICROSOFT-CORP-MSN-AS-BLOCK,60.6667
37.5,44.43,10564.75,13402.3,1,0.0,1.2686,1.1849,0.0,FACEBOOK,37.5
32.5,39.0,10780.25,12561.03,1.5,1.73,1.1652,1.2,1.1547,CLOUDFLARENET,21.6667
27.5,32.5,10037.5,15790.39,2.25,1.71,1.5731,1.1819,0.759,AMAZON-AES,12.2222
10.5,21.0,567,1134.0,0.25,0.5,2.0,2.0,2.0,NETFLIX-ASN,42.0
381.5,722.26,480351.75,938399.64,1.5,2.38,1.9536,1.8932,1.587,Yahoo! UK Services Limited,254.3333
653,1248.02,916517.25,1771111.51,0.75,0.96,1.9324,1.9112,1.2766,EDGECAST,870.6667
10.75,15.56,1704.5,2027.06,0.5,0.58,1.1892,1.4478,1.1547,SUCURI-SEC,21.5
71.5,48.65,11520.25,3883.93,4.75,4.5,0.3371,0.6804,0.9474,AMAZON-02,15.0526
33.25,66.5,29742.75,59485.5,0.75,1.5,2.0,2.0,2.0,THM,44.3333
19,38.0,2587,5174.0,1.5,3.0,2.0,2.0,2.0,EBAY,12.6667
26,52.0,25019.25,50038.5,0.5,1.0,2.0,2.0,2.0,AKAMAI-AS,52.0
1,2.0,66,132.0,0.25,0.5,2.0,2.0,2.0,APPLE-AUSTIN,4.0
84.75,155.18,120067.75,236321.02,0.5,0.58,1.9682,1.831,1.1547,LEVEL3,169.5
2,4.0,123.5,247.0,0.25,0.5,2.0,2.0,2.0,YAHOO-SP1,8.0
40.75,73.72,36285,72133.99,0.75,0.96,1.988,1.809,1.2766,FASTLY,54.3333
4.5,9.0,1771.75,3543.5,0.25,0.5,2.0,2.0,2.0,YAHOO-SWB,18.0
20,25.77,9919.25,12635.47,0.5,0.58,1.2738,1.2884,1.1547,internet content provider,40.0
5.75,11.5,1862,3724.0,0.5,1.0,2.0,2.0,2.0,YAHOO-CHA,11.5
5.75,11.5,780.5,1561.0,0.5,1.0,2.0,2.0,2.0,YAHOO-GQ1,11.5
6.75,13.5,3340.5,6681.0,0.25,0.5,2.0,2.0,2.0,Internet content provider,27.0
6.75,8.06,946,1093.68,0.5,0.58,1.1561,1.1936,1.1547,YAHOO-YSM-SC8,13.5
8,16.0,2296.75,4593.5,0.25,0.5,2.0,2.0,2.0,LLNW,32.0
17.5,23.63,6992.25,9788.81,0.75,0.96,1.4,1.3502,1.2766,YAHOO,23.3333
10.25,20.5,3772.5,7545.0,0.5,1.0,2.0,2.0,2.0,YAHOO-1,20.5
5.25,10.5,2963.75,5927.5,0.25,0.5,2.0,2.0,2.0,Internet Content Provider,21.0
1.5,3.0,113.25,226.5,0.25,0.5,2.0,2.0,2.0,Datacamp Limited,6.0
