ORG,IP,COUNTRY,CITY,OCCURENCES,LAT,LONG
GOOGLE,34.120.115.102,United States,Kansas City,3,39.1027,-94.5778
APPLE-ENGINEERING,17.252.62.5,United Kingdom,Manchester,42,53.5058,-2.2209
GOOGLE,172.217.16.227,Poland,Warsaw,30,52.2484,21.0026
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.208.34,United Kingdom,London,35,51.5095,-0.0955
GOOGLE,142.250.187.227,Bulgaria,Sofia,7,42.697708,23.321868
GOOGLE,35.186.224.25,United States,Kansas City,199,39.1027,-94.5778
FACEBOOK,157.240.225.5,United Kingdom,Manchester,132,53.5058,-2.2209
Virgin Media Limited,194.168.4.100,United Kingdom,Waltham Abbey,62,51.6795,0.018
FASTLY,199.232.57.229,United Kingdom,Windsor,30,54.5673,-5.944
CLOUDFLARENET,104.18.21.226,Canada,Toronto,14,43.7593,-79.5224
FASTLY,199.232.57.111,United Kingdom,Windsor,31,54.5673,-5.944
EDGECAST,93.184.220.29,United Kingdom,London,105,51.5095,-0.0955
MICROSOFT-CORP-MSN-AS-BLOCK,40.100.174.226,United Kingdom,London,37,51.5095,-0.0955
CLOUDFLARENET,104.18.20.226,Canada,Toronto,19,43.6752,-79.3472
APPLE-ENGINEERING,17.248.180.114,United Kingdom,Manchester,50,53.5058,-2.2209
GOOGLE,34.120.237.76,United States,Kansas City,4,39.1027,-94.5778
APPLE-ENGINEERING,17.248.180.145,United Kingdom,Manchester,40,53.5058,-2.2209
APPLE-ENGINEERING,17.252.62.6,United Kingdom,Manchester,51,53.5058,-2.2209
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.202.66,United Kingdom,London,15,51.5095,-0.0955
AMAZON-02,13.33.52.44,United Kingdom,Manchester,2,53.4809,-2.2374
AMAZON-02,52.84.140.113,United Kingdom,Manchester,1,53.4809,-2.2374
APPLE-ENGINEERING,17.248.180.106,United Kingdom,Manchester,2,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.46,United Kingdom,Manchester,15,53.5058,-2.2209
GOOGLE,35.186.224.40,United States,Kansas City,27,39.1027,-94.5778
GOOGLE,35.186.224.47,United States,Kansas City,22,39.1027,-94.5778
MICROSOFT-CORP-MSN-AS-BLOCK,65.55.44.109,United States,Boydton,137,36.6534,-78.375
GOOGLE,142.250.187.206,Bulgaria,Sofia,22,42.697708,23.321868
GOOGLE,35.186.224.18,United States,Kansas City,32,39.1027,-94.5778
FACEBOOK,157.240.225.60,United Kingdom,Manchester,16,53.5058,-2.2209
GOOGLE,104.199.65.124,Belgium,Brussels,9,50.8336,4.3337
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.133.194,United Kingdom,London,35,51.5095,-0.0955
AMAZON-02,54.148.157.250,United States,Boardman,4,45.849868,-119.632159
APPLE-ENGINEERING,17.248.180.139,United Kingdom,Manchester,12,53.5058,-2.2209
MICROSOFT-CORP-MSN-AS-BLOCK,52.97.133.242,United Kingdom,London,276,51.5095,-0.0955
AMAZON-02,13.33.50.111,United Kingdom,Manchester,6,53.4809,-2.2374
AMAZON-02,34.247.35.215,Ireland,Dublin,7,53.3382,-6.2591
Yahoo! UK Services Limited,87.248.114.11,United Kingdom,London,1397,51.5095,-0.0955
Yahoo! UK Services Limited,87.248.100.215,Ireland,Dublin,98,53.3382,-6.2591
Yahoo! UK Services Limited,188.125.72.139,Ireland,Dublin,60,53.3382,-6.2591
Yahoo! UK Services Limited,87.248.114.12,United Kingdom,London,34,51.5095,-0.0955
EDGECAST,152.199.20.14,France,Paris,87,48.8323,2.4075
EDGECAST,152.195.132.116,United States,New York,2842,40.7488,-73.9883
FASTLY,199.232.58.137,United Kingdom,London,23,51.5016,-0.0149
AMAZON-02,52.84.140.11,United Kingdom,Manchester,70,53.4809,-2.2374
FASTLY,185.199.111.153,United States,San Francisco,68,37.7809,-122.4245
CLOUDFLARENET,104.21.234.55,Canada,Toronto,299,43.6514,-79.3851
APPLE-ENGINEERING,17.248.180.164,United Kingdom,Manchester,2,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.5,United Kingdom,Manchester,27,53.5058,-2.2209
APPLE-ENGINEERING,17.248.180.235,United Kingdom,Manchester,14,53.5058,-2.2209
CLOUDFLARENET,104.21.234.54,Canada,Toronto,365,43.6514,-79.3851
CLOUDFLARENET,104.20.185.68,United States,San Francisco,50,37.7771,-122.406
APPLE-ENGINEERING,17.248.180.237,United Kingdom,Manchester,14,53.5058,-2.2209
FACEBOOK,157.240.225.20,United Kingdom,Manchester,3,53.5058,-2.2209
AMAZON-02,13.224.81.82,United Kingdom,Manchester,3,53.4809,-2.2374
AMAZON-02,52.84.140.107,United Kingdom,Manchester,4,53.4809,-2.2374
