occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
89,125.63,9779.75,15011.08,2.75,2.63,1.5349,1.4116,0.9563,GOOGLE,32.3636
18.75,35.53,2395.75,4688.08,0.75,0.96,1.9568,1.8948,1.2766,Virgin Media Limited,25.0
77.5,108.21,19387,20932.77,3.5,3.32,1.0797,1.3963,0.9476,APPLE-ENGINEERING,22.1429
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
224,147.43,91228.25,49353.91,2.5,1.29,0.541,0.6582,0.5164,MICROSOFT-CORP-MSN-AS-BLOCK,89.6
37.75,73.51,10456.75,20747.83,0.75,0.96,1.9842,1.9474,1.2766,FACEBOOK,50.3333
203.75,158.68,221347.25,213870.6,2.25,2.5,0.9662,0.7788,1.1111,CLOUDFLARENET,90.5556
50.75,32.57,30515.5,44910.42,3.5,1.29,1.4717,0.6418,0.3689,AMAZON-02,14.5
11.75,14.89,617,784.42,0.5,0.58,1.2714,1.2669,1.1547,NETFLIX-ASN,23.5
397.25,707.67,532667,981161.5,1,0.82,1.842,1.7814,0.8165,Yahoo! UK Services Limited,397.25
758.5,1389.76,1076047,2085945.16,0.75,0.5,1.9385,1.8322,0.6667,EDGECAST,1011.3333
63.5,28.16,60763.5,43411.46,1.5,0.58,0.7144,0.4435,0.3849,FASTLY,42.3333
60.25,120.5,21616.25,43232.5,1,2.0,2.0,2.0,2.0,EBAY,60.25
105.5,207.68,131814.25,263463.19,0.5,0.58,1.9987,1.9685,1.1547,AKAMAI-AS,211.0
0.25,0.5,22.75,45.5,0.25,0.5,2.0,2.0,2.0,LEVEL3,1.0
