occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
11.5,14.85,1330,1791.81,2,1.41,1.3472,1.2912,0.7071,GOOGLE,5.75
10.5,14.85,5286.5,7476.24,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,10.5
1.5,2.12,121.5,171.83,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,3.0
5,7.07,652.5,922.77,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
90.5,61.52,28609,3299.36,1.5,0.71,0.1153,0.6798,0.4714,AMAZON-02,60.3333
5,7.07,663.5,938.33,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,10.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
2.5,3.54,521,736.81,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,5.0
53.5,75.66,32850.5,46457.62,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,35.6667
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
11,15.56,4194.5,5931.92,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,22.0
