occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
24.5,21.92,5165.5,1454.52,3.5,0.71,0.2816,0.8947,0.202,GOOGLE,7.0
6.5,6.36,2223.5,2943.69,1,0.0,1.3239,0.9791,0.0,FACEBOOK,6.5
5,7.07,836,1182.28,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
193.5,222.74,63550,67900.64,7.5,0.71,1.0685,1.1511,0.0943,AMAZON-02,25.8
2,2.83,200,282.84,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.3333
0.5,0.71,30.5,43.13,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
4.5,6.36,234,330.93,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,9.0
8,11.31,1019,1441.08,2.5,3.54,1.4142,1.4142,1.4142,AKAMAI-AS,3.2
2,2.83,225,318.2,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
9,12.73,4256.5,6019.6,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,18.0
1,1.41,126,178.19,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
2,2.83,344,486.49,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
6,8.49,3057.5,4323.96,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
387.5,548.01,461641,652858.96,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,775.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3.5,4.95,2077,2937.32,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,7.0
