occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
23,29.7,4302.5,5881.01,3.5,3.54,1.3669,1.2912,1.0102,GOOGLE,6.5714
7.5,10.61,2753,3893.33,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,7.5
1,1.41,100.5,142.13,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
350.5,31.82,300918.5,122051.58,5,0.0,0.4056,0.0908,0.0,AMAZON-02,70.1
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
1,1.41,60.5,85.56,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
5,7.07,260,367.7,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,10.0
6.5,9.19,369,521.84,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,4.3333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,444,627.91,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,4.0
76.5,108.19,10010.5,14156.98,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,153.0
