occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,6.36,512.5,651.25,1.5,0.71,1.2707,1.1571,0.4714,GOOGLE,3.6667
318,442.65,271152,381491.18,4,1.41,1.4069,1.392,0.3536,MICROSOFT-CORP-MSN-AS-BLOCK,79.5
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
1.5,2.12,197,278.6,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
0.5,0.71,30,42.43,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,5.0
35.5,24.75,32935.5,28765.81,1,0.0,0.8734,0.6971,0.0,Akamai International B.V.,35.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,161.5,228.4,0.5,0.71,1.4142,1.4142,1.4142,BBC,5.0
