occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
104.5,146.37,46696,65964.58,5,5.66,1.4126,1.4007,1.1314,GOOGLE,20.9
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
17,24.04,6874.5,9722.01,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,17.0
21,29.7,3218.5,4551.65,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,42.0
691,258.8,617833,586226.88,8,9.9,0.9488,0.3745,1.2374,AMAZON-02,86.375
9.5,13.44,3589.5,5076.32,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.3333
1,1.41,60.5,85.56,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
14,19.8,6738,9528.97,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,28.0
17.5,24.75,9438.5,13348.05,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,17.5
5.5,7.78,2237,3163.6,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
8,11.31,3700.5,5233.3,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6.5,9.19,2575.5,3642.31,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
19,26.87,8879,12556.8,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
15.5,21.92,5895,8336.79,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
6,8.49,2653,3751.91,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6,8.49,3327,4705.09,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
1293.5,1829.29,1578070,2231728.0,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2587.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2594.5,3669.18,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
