occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,4.95,939.5,1125.01,1,0.0,1.1975,0.9,0.0,GOOGLE,5.5
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
3.5,4.95,429.5,607.4,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
28,26.87,9486.5,12693.27,1.5,0.71,1.338,0.9596,0.4714,AKAMAI-AS,18.6667
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,1.0
111.5,157.68,22441,31736.37,3.5,4.95,1.4142,1.4142,1.4142,AMAZON-02,31.8571
3,4.24,120,169.71,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,6.0
6,8.49,300,424.26,3,4.24,1.4142,1.4142,1.4142,EBAY,2.0
191,270.11,230798,326397.66,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,382.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
