occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
42,59.4,21025,29733.84,2.5,3.54,1.4142,1.4142,1.4142,GOOGLE,16.8
27.5,36.06,11675,16363.87,1.5,0.71,1.4016,1.3114,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,18.3333
2.5,3.54,265.5,375.47,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
4.5,6.36,633,895.2,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,9.0
2,2.83,80,113.14,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
8,2.83,381,131.52,3,0.0,0.3452,0.3536,0.0,EBAY,2.6667
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
296,418.61,239985,339390.04,4,5.66,1.4142,1.4142,1.4142,AMAZON-02,74.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
6.5,9.19,2877.5,4069.4,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,13.0
62.5,88.39,8053.5,11389.37,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,125.0
