occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1,1.41,67.5,95.46,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,2.0
263,357.8,200576.5,276612.39,3.5,3.54,1.3791,1.3604,1.0102,MICROSOFT-CORP-MSN-AS-BLOCK,75.1429
2,2.83,161,227.69,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,4.0
3.5,4.95,450,636.4,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,4.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
2,2.83,80,113.14,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,4.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,4.0
30.5,34.65,9970,11938.79,3,1.41,1.1975,1.136,0.4714,EBAY,10.1667
3,4.24,156,220.62,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,3.0
49.5,9.19,42124,13474.63,2.5,0.71,0.3199,0.1857,0.2828,Akamai International B.V.,19.8
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,45.5,64.35,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,1.0
