occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
13.5,6.36,6652,2862.37,1.5,0.71,0.4303,0.4714,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
0.5,0.71,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
2.5,3.54,100,141.42,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.5
5,7.07,260,367.7,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,10.0
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
2.5,3.54,130,183.85,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,1.6667
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
3,4.24,156,220.62,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-02,2.0
19.5,26.16,4461.5,6235.97,3.5,3.54,1.3977,1.3417,1.0102,EBAY,5.5714
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
