occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
65,56.57,60666.5,72998.17,3,1.41,1.2033,0.8703,0.4714,GOOGLE,21.6667
1.5,2.12,300,424.26,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
8,11.31,4282,6055.66,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
22,31.11,7490.5,10593.17,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,22.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
2,0.0,104,0.0,1.5,0.71,0.0,0.0,0.4714,AKAMAI-AS,1.3333
1,0.0,40,0.0,1,0.0,0.0,0.0,0.0,RUBICONPROJECT,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
27,33.94,6645.5,9177.54,3,1.41,1.381,1.2571,0.4714,EBAY,9.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,1.0
2.5,0.71,130,36.77,2,1.41,0.2828,0.2828,0.7071,AMAZON-02,1.25
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
