occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
26,4.24,3879.5,340.12,3,0.0,0.0877,0.1632,0.0,GOOGLE,8.6667
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
1.5,2.12,159,224.86,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
2,2.83,200,282.84,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,4.0
3.5,4.95,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,7.0
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
3,4.24,120,169.71,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
4,5.66,208,294.16,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,2.6667
37,49.5,16439.5,23101.89,4,4.24,1.4053,1.3378,1.0607,AMAZON-02,9.25
18,25.46,3650.5,5162.59,2.5,3.54,1.4142,1.4142,1.4142,EBAY,7.2
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,1.0
3,4.24,1225,1732.41,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,3.0
