occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
131.5,184.55,75642,106900.4,6,7.07,1.4132,1.4035,1.1785,GOOGLE,21.9167
10.5,14.85,5286.5,7476.24,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,10.5
14.5,20.51,5397,7632.51,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,14.5
33,46.67,5239,7409.06,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,66.0
41.5,58.69,14602,20650.35,3,4.24,1.4142,1.4142,1.4142,CLOUDFLARENET,13.8333
166.5,235.47,188544.5,266642.19,1,1.41,1.4142,1.4142,1.4142,EDGECAST,166.5
370.5,523.97,408195.5,577275.61,3.5,4.95,1.4142,1.4142,1.4142,AKAMAI-AS,105.8571
110.5,143.54,63042,83448.5,7,8.49,1.3237,1.299,1.2122,AMAZON-02,15.7857
9,12.73,3626.5,5128.65,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,9.0
6.5,9.19,2616,3699.58,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",13.0
7,9.9,2912.5,4118.9,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,14.0
7,9.9,4232,5984.95,0.5,0.71,1.4142,1.4142,1.4142,Yahoo! UK Services Limited,14.0
12,16.97,5981.5,8459.12,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,12.0
7.5,10.61,1534,2169.4,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,15.0
6,8.49,3304.5,4673.27,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
85.5,120.92,70602,99846.31,2,2.83,1.4142,1.4142,1.4142,THM,42.75
83.5,118.09,54170.5,76608.66,4,5.66,1.4142,1.4142,1.4142,EBAY,20.875
8,11.31,3322,4698.02,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,16.0
8,11.31,4283,6057.08,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
17,24.04,6392.5,9040.36,1.5,2.12,1.4142,1.4142,1.4142,Akamai International B.V.,11.3333
7.5,10.61,3012,4259.61,0.5,0.71,1.4142,1.4142,1.4142,Amobee EMEA Limited,15.0
28,39.6,9896,13995.06,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,56.0
4,5.66,2257.5,3192.59,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,8.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
10,14.14,5814.5,8222.94,0.5,0.71,1.4142,1.4142,1.4142,VOXEL-DOT-NET,20.0
106.5,150.61,129870.5,183664.62,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,213.0
7.5,10.61,3289,4651.35,0.5,0.71,1.4142,1.4142,1.4142,Datacamp Limited,15.0
6.5,9.19,3246,4590.54,0.5,0.71,1.4142,1.4142,1.4142,OVH SAS,13.0
