occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
19,26.87,3480,4921.46,1.5,2.12,1.4142,1.4142,1.4142,GOOGLE,12.6667
76,93.34,11018,14829.44,7,1.41,1.3459,1.2281,0.202,AMAZON-02,10.8571
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
1.5,2.12,78,110.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,1.5
2,2.83,80,113.14,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,4.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,3.0
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,2.0
