occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
12.5,3.54,2537,981.46,3,1.41,0.3869,0.2828,0.4714,GOOGLE,4.1667
0.5,0.71,104.5,147.79,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
47,16.97,9506.5,2980.46,5.5,6.36,0.3135,0.3611,1.1571,AMAZON-02,8.5455
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
25,35.36,9511,13450.59,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,50.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
1.5,0.71,182,183.85,1,0.0,1.0102,0.4714,0.0,AMAZON-AES,1.5
