occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
9,9.9,483.5,492.85,1,0.0,1.0193,1.0999,0.0,GOOGLE,9.0
18.5,21.92,4123.5,3968.99,3,2.83,0.9625,1.1849,0.9428,MICROSOFT-CORP-MSN-AS-BLOCK,6.1667
0.5,0.71,43.5,61.52,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
7,9.9,364,514.77,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,14.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
5.5,6.36,286,330.93,3,2.83,1.1571,1.1571,0.9428,AMAZON-02,1.8333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
30,42.43,31428,44445.9,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,60.0
1,1.41,52,73.54,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,1.0
4.5,6.36,5053.5,7146.73,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,9.0
