occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
141,24.04,118752,109882.98,3.5,0.71,0.9253,0.1705,0.202,GOOGLE,40.2857
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
3,4.24,380,537.4,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
7,9.9,364,514.77,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,14.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
7,7.07,379.5,345.78,3.5,3.54,0.9111,1.0102,1.0102,AMAZON-02,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
211,298.4,263395,372496.78,1,1.41,1.4142,1.4142,1.4142,YOUTUBE,211.0
2.5,3.54,130,183.85,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,2.5
