occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
76.5,108.19,31361.5,44351.86,5,7.07,1.4142,1.4142,1.4142,GOOGLE,15.3
3.5,4.95,584,825.9,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
10.5,14.85,5144,7274.71,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,21.0
14,19.8,5944,8406.09,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,28.0
15.5,21.92,3789.5,5359.16,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,10.3333
177.5,166.17,85548,84657.65,7.5,7.78,0.9896,0.9362,1.0371,AMAZON-02,23.6667
1,1.41,399,564.27,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
3.5,4.95,926.5,1310.27,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,7.0
5.5,7.78,888.5,1256.53,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,5.5
3.5,4.95,1566,2214.66,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
2,2.83,774.5,1095.31,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",4.0
19,26.87,8875.5,12551.85,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
1,1.41,241,340.83,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,2.0
3.5,4.95,2474,3498.76,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,7.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,1098.5,1553.51,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,5.0
3,4.24,692,978.64,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,6.0
