occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
54,74.95,14387,20272.75,4.5,4.95,1.4091,1.388,1.0999,GOOGLE,12.0
9,12.73,4628,6544.98,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,18.0
3,4.24,416,588.31,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
10,14.14,3562,5037.43,4,5.66,1.4142,1.4142,1.4142,AMAZON-02,2.5
6,8.49,2365,3344.62,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,12.0
5.5,7.78,689.5,975.1,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,11.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
7,9.9,4230.5,5982.83,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,14.0
11.5,16.26,1124,1589.58,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,23.0
3.5,4.95,1164.5,1646.85,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,3.5
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,OVH SAS,1.0
