occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
7.5,0.71,1065.5,734.68,3,1.41,0.6895,0.0943,0.4714,GOOGLE,2.5
0.5,0.71,104.5,147.79,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
2,2.83,99.5,140.71,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.3333
4.5,6.36,234,330.93,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,9.0
17.5,21.92,4205,5799.69,1.5,0.71,1.3792,1.2526,0.4714,AKAMAI-AS,11.6667
1,0.0,40,0.0,1,0.0,0.0,0.0,0.0,RUBICONPROJECT,1.0
47.5,61.52,4831,6455.88,2.5,0.71,1.3363,1.2951,0.2828,AMAZON-02,19.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,2.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,6.0
7.5,10.61,4256,6018.89,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,7.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
