occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
120.5,167.58,48042,67794.57,5.5,4.95,1.4112,1.3907,0.9,GOOGLE,21.9091
5,7.07,626.5,886.0,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
29.5,10.61,13064,5999.09,1,0.0,0.4592,0.3595,0.0,FACEBOOK,29.5
3.5,4.95,1566,2214.66,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
19.5,27.58,7841.5,11089.56,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,39.0
139.5,129.4,69742,64770.98,6.5,6.36,0.9287,0.9276,0.9791,AMAZON-02,21.4615
57,80.61,51145.5,72330.66,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,38.0
7.5,10.61,3666,5184.51,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,7.5
8,11.31,2839,4014.95,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,16.0
15.5,21.92,5893,8333.96,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
6.5,9.19,2676.5,3785.14,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",13.0
26.5,37.48,11427.5,16160.93,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,17.6667
4.5,6.36,2536,3586.45,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,9.0
3,4.24,383,541.64,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
7,9.9,3439,4863.48,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,14.0
510,721.25,562578,795605.44,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1020.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
11,15.56,4370,6180.11,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,22.0
