occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
6,8.49,3257.5,4606.8,2,2.83,1.4142,1.4142,1.4142,GOOGLE,3.0
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
5,7.07,657.5,929.85,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
8,11.31,5312.5,7513.01,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,16.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
515,697.21,421089,584278.09,6.5,3.54,1.3875,1.3538,0.5439,AMAZON-02,79.2308
2,0.0,942,432.75,1,0.0,0.4594,0.0,0.0,AKAMAI-AS,2.0
2,2.83,227,321.03,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
1,1.41,368,520.43,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
4,5.66,2102,2972.68,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,8.0
1,1.41,125.5,177.48,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
6,8.49,3057.5,4323.96,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
2,2.83,344,486.49,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
3.5,4.95,2076,2935.91,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,7.0
1,0.0,62,0.0,1,0.0,0.0,0.0,0.0,APPLE-ENGINEERING,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
