occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
20,28.28,3080.5,4356.48,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,40.0
107.5,152.03,49774,70391.07,4,5.66,1.4142,1.4142,1.4142,GOOGLE,26.875
10,14.14,5647.5,7986.77,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,20.0
1,0.0,61.5,0.71,1,0.0,0.0115,0.0,0.0,APPLE-ENGINEERING,1.0
2,2.83,702,992.78,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,4.0
17.5,24.75,6937.5,9811.11,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,35.0
1072,1500.48,1103438.5,1554310.51,8.5,10.61,1.4086,1.3997,1.2478,AMAZON-02,126.1176
17.5,24.75,9439.5,13349.47,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,17.5
5.5,7.78,2236,3162.18,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
10,14.14,5152,7286.03,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,20.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
8,11.31,2838.5,4014.25,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,16.0
15,21.21,5867.5,8297.9,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
11,15.56,3863.5,5463.81,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,7.3333
20.5,28.99,9788.5,13843.03,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.6667
6.5,9.19,3353.5,4742.57,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
4.5,6.36,2536,3586.45,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,9.0
7.5,10.61,2781.5,3933.64,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
