occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
47.5,61.52,18441.5,25678.58,3.5,2.12,1.3924,1.2951,0.6061,GOOGLE,13.5714
6.5,9.19,2998.5,4240.52,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,6.5
0.5,0.71,74,104.65,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
1.5,2.12,114,161.22,1.5,2.12,1.4142,1.4142,1.4142,APPLE-AUSTIN,1.0
2,1.41,124,87.68,1.5,0.71,0.7071,0.7071,0.4714,APPLE-ENGINEERING,1.3333
4.5,6.36,234,330.93,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,9.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,6.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
7.5,10.61,6810.5,9631.5,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,15.0
